A53
第0661回ロト７,数字選択式全国自治宝くじ,令和8年1月23日,東京 宝くじドリーム館
支払期間,令和8年1月24日から令和9年1月23日まで
本数字,07,12,17,22,31,34,35,ボーナス数字,20,32
１等,該当なし,該当なし
２等,5口,12032000円
３等,125口,554300円
４等,5996口,7000円
５等,102827口,1300円
６等,153889口,1100円
キャリーオーバー,929684620円
販売実績額,2183756100円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
