A53
第0685回ロト７,数字選択式全国自治宝くじ,令和8年7月10日,大阪 宝くじドリーム館
支払期間,令和8年7月11日から令和9年7月10日まで
本数字,01,05,16,20,21,22,31,ボーナス数字,23,36
１等,1口,395865900円
２等,2口,23825900円
３等,77口,712800円
４等,4045口,8200円
５等,68450口,1600円
６等,114400口,1200円
キャリーオーバー,0円
販売実績額,1729716300円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
