A53
第0676回ロト７,数字選択式全国自治宝くじ,令和8年5月8日,東京 宝くじドリーム館
支払期間,令和8年5月9日から令和9年5月8日まで
本数字,02,06,15,19,20,22,27,ボーナス数字,31,33
１等,1口,415718800円
２等,15口,3265400円
３等,97口,581600円
４等,5220口,6500円
５等,78478口,1400円
６等,135179口,1000円
キャリーオーバー,0円
販売実績額,1777985100円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
