A53
第0671回ロト７,数字選択式全国自治宝くじ,令和8年4月3日,東京 宝くじドリーム館
支払期間,令和8年4月4日から令和9年4月3日まで
本数字,07,13,16,22,28,33,36,ボーナス数字,02,25
１等,2口,1200000000円
２等,19口,4111800円
３等,263口,342100円
４等,10104口,5300円
５等,134547口,1300円
６等,223323口,1000円
キャリーオーバー,453007035円
販売実績額,2835891600円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
