"回号","抽せん日","販売実績額","キャリーオーバー","1等口数","1等当せん金額"
"153","2016-03-25","","0","1","362456100"
"154","2016-04-01","","0","1","257297800"
"155","2016-04-08","","0","1","251995000"
"156","2016-04-15","","0","1","259663500"
"157","2016-04-22","","252322715","0","0"
"158","2016-04-29","","0","1","535280700"
"159","2016-05-06","","234794530","0","0"
"160","2016-05-13","","0","2","255795700"
"161","2016-05-20","","233401615","0","0"
"162","2016-05-27","","0","1","500555900"
"163","2016-06-03","","0","1","237793900"
"164","2016-06-10","","229558135","0","0"
"165","2016-06-17","","529403390","0","0"
"166","2016-06-24","","838919740","0","0"
"167","2016-07-01","","0","2","596966700"
"168","2016-07-08","","249683290","0","0"
"169","2016-07-15","","541842255","0","0"
"170","2016-07-22","","45774325","1","800000000"
"171","2016-07-29","","0","1","308533500"
"172","2016-08-05","","0","1","229139600"
"173","2016-08-12","","228099815","0","0"
"174","2016-08-19","","0","3","170269900"
"175","2016-08-26","","239677540","0","0"
"176","2016-09-02","","528455810","0","0"
"177","2016-09-09","","35718160","1","800000000"
"178","2016-09-16","","298979855","0","0"
"179","2016-09-23","","0","1","581403600"
"180","2016-09-30","","237187815","0","0"
"181","2016-10-07","","521445450","0","0"
"182","2016-10-14","","842496950","0","0"
"183","2016-10-21","","1181212000","0","0"
"184","2016-10-28","","751867760","1","800000000"
"185","2016-11-04","","1077699135","0","0"
"186","2016-11-11","","1411599250","0","0"
"187","2016-11-18","","198771140","2","800000000"
"188","2016-11-25","","0","1","478206800"
"189","2016-12-02","","0","2","123108600"
"190","2016-12-09","","0","1","240259100"
"191","2016-12-16","","243867070","0","0"
"192","2016-12-23","","522955095","0","0"
"193","2016-12-30","","844728055","0","0"
"194","2017-01-06","","1131549130","0","0"
"195","2017-01-13","","0","4","371873100"
"196","2017-01-20","","234599870","0","0"
"197","2017-01-27","","522001970","0","0"
"198","2017-02-03","","879541410","0","0"
"199","2017-02-10","","0","2","636223100"
"200","2017-02-17","","0","4","67987600"
"201","2017-02-24","","0","1","263734200"
"202","2017-03-03","","0","1","254364500"
"203","2017-03-10","","0","1","236902300"
"204","2017-03-17","","237457480","0","0"
"205","2017-03-24","","502863990","0","0"
"206","2017-03-31","","0","2","405262500"
"207","2017-04-07","","237151340","0","0"
"208","2017-04-14","","0","2","265859700"
"209","2017-04-21","","0","2","126470700"
"210","2017-04-28","","0","3","81938200"
"211","2017-05-05","","213835550","0","0"
"212","2017-05-12","","0","1","485279600"
"213","2017-05-19","","0","1","221975000"
"214","2017-05-26","","222151090","0","0"
"215","2017-06-02","","472406545","0","0"
"216","2017-06-09","","752459005","0","0"
"217","2017-06-16","","0","3","366089300"
"218","2017-06-23","","234051170","0","0"
"219","2017-06-30","","0","1","499890800"
"220","2017-07-07","","0","1","226348000"
"221","2017-07-14","","228713890","0","0"
"222","2017-07-21","","0","2","237488900"
"223","2017-07-28","","216537490","0","0"
"224","2017-08-04","","455617240","0","0"
"225","2017-08-11","","704586110","0","0"
"226","2017-08-18","","0","2","498775500"
"227","2017-08-25","","0","1","211728100"
"228","2017-09-01","","0","1","220207500"
"229","2017-09-08","","219972905","0","0"
"230","2017-09-15","","488540220","0","0"
"231","2017-09-22","","759728850","0","0"
"232","2017-09-29","","92542530","1","1000000000"
"233","2017-10-06","","352144450","0","0"
"234","2017-10-13","","627381835","0","0"
"235","2017-10-20","","0","2","465949400"
"236","2017-10-27","","219639955","0","0"
"237","2017-11-03","","0","1","495540900"
"238","2017-11-10","","0","1","221756400"
"239","2017-11-17","","0","2","108367000"
"240","2017-11-24","","211619725","0","0"
"241","2017-12-01","","455355365","0","0"
"242","2017-12-08","","721477315","0","0"
"243","2017-12-15","","0","2","517917800"
"244","2017-12-22","","0","1","228504900"
"245","2017-12-29","","0","2","117494400"
"246","2018-01-05","","0","1","190480600"
"247","2018-01-12","","215130950","0","0"
"248","2018-01-19","","0","1","486799200"
"249","2018-01-26","","213193135","0","0"
"250","2018-02-02","","0","1","474586400"
"251","2018-02-09","","0","1","312906800"
"252","2018-02-16","","0","1","316752000"
"253","2018-02-23","","0","1","309164300"
"254","2018-03-02","","301344395","0","0"
"255","2018-03-09","","0","2","334468400"
"256","2018-03-16","","0","1","305471000"
"257","2018-03-23","","0","1","303266300"
"258","2018-03-30","","0","1","305996000"
"259","2018-04-06","","296865915","0","0"
"260","2018-04-13","","0","2","333667500"
"261","2018-04-20","","299962625","0","0"
"262","2018-04-27","","641103540","0","0"
"263","2018-05-04","","1007154715","0","0"
"264","2018-05-11","","1449029430","0","0"
"265","2018-05-18","","0","2","973273800"
"266","2018-05-25","","313999575","0","0"
"267","2018-06-01","","718966520","0","0"
"268","2018-06-08","","173451955","1","1000000000"
"269","2018-06-15","","0","1","541546300"
"270","2018-06-22","","326590330","0","0"
"271","2018-06-29","","709520700","0","0"
"272","2018-07-06","","0","2","565988400"
"273","2018-07-13","","0","2","163912900"
"274","2018-07-20","","297380135","0","0"
"275","2018-07-27","","659517715","0","0"
"276","2018-08-03","","65883635","1","1000000000"
"277","2018-08-10","","391610110","0","0"
"278","2018-08-17","","774981360","0","0"
"279","2018-08-24","","1208286110","0","0"
"280","2018-08-31","","1693217310","0","0"
"281","2018-09-07","","1188572470","1","1000000000"
"282","2018-09-14","","658065950","1","1000000000"
"283","2018-09-21","","1074137170","0","0"
"284","2018-09-28","","1531893985","0","0"
"285","2018-10-05","","2025575125","0","0"
"286","2018-10-12","","2563226520","0","0"
"287","2018-10-19","","3182905730","0","0"
"288","2018-10-26","","1856070345","2","1000000000"
"289","2018-11-02","","1431007375","1","1000000000"
"290","2018-11-09","","1958591280","0","0"
"291","2018-11-16","","1511981740","1","1000000000"
"292","2018-11-23","","2011587545","0","0"
"293","2018-11-30","","0","3","847890100"
"294","2018-12-07","","362900105","0","0"
"295","2018-12-14","","786597795","0","0"
"296","2018-12-21","","262288165","1","1000000000"
"297","2018-12-28","","723867455","0","0"
"298","2019-01-04","","1078420555","0","0"
"299","2019-01-11","","1578585130","0","0"
"300","2019-01-18","","1097825350","1","1000000000"
"301","2019-01-25","","1614973255","0","0"
"302","2019-02-01","","2150226005","0","0"
"303","2019-02-08","","2711152345","0","0"
"304","2019-02-15","","3299321575","0","0"
"305","2019-02-22","","2940077565","1","1000000000"
"306","2019-03-01","","3531756965","0","0"
"307","2019-03-08","","1171937610","3","1000000000"
"308","2019-03-15","","1705667655","0","0"
"309","2019-03-22","","2243542325","0","0"
"310","2019-03-29","","0","3","933583800"
"311","2019-04-05","","369634875","0","0"
"312","2019-04-12","","0","1","793630300"
"313","2019-04-19","","367344040","0","0"
"314","2019-04-26","","806994855","0","0"
"315","2019-05-03","","0","3","413815400"
"316","2019-05-10","","0","1","348691900"
"317","2019-05-17","","340388440","0","0"
"318","2019-05-24","","0","2","376602400"
"319","2019-05-31","","0","1","348796200"
"320","2019-06-07","","0","1","333152300"
"321","2019-06-14","","352790235","0","0"
"322","2019-06-21","","0","2","389402400"
"323","2019-06-28","","0","1","355424900"
"324","2019-07-05","","331147175","0","0"
"325","2019-07-12","","725726100","0","0"
"326","2019-07-19","","0","2","584295200"
"327","2019-07-26","","0","1","325927600"
"328","2019-08-02","","0","1","319467200"
"329","2019-08-09","","305395695","0","0"
"330","2019-08-16","","0","1","674889600"
"331","2019-08-23","","331931710","0","0"
"332","2019-08-30","","732637115","0","0"
"333","2019-09-06","","1200001505","0","0"
"334","2019-09-13","","1728403925","0","0"
"335","2019-09-20","","2302853520","0","0"
"336","2019-09-27","","2927369975","0","0"
"337","2019-10-04","","2584013245","1","1000000000"
"338","2019-10-11","","2170574545","1","1000000000"
"339","2019-10-18","","1731734285","1","1000000000"
"340","2019-10-25","","1251961575","1","1000000000"
"341","2019-11-01","","783163535","1","1000000000"
"342","2019-11-08","","1299561660","0","0"
"343","2019-11-15","","1816792475","0","0"
"344","2019-11-22","","2330925355","0","0"
"345","2019-11-29","","1876447595","1","1000000000"
"346","2019-12-06","","1393851380","1","1000000000"
"347","2019-12-13","","1907271955","0","0"
"348","2019-12-20","","2471218605","0","0"
"349","2019-12-27","","1114611465","2","1000000000"
"350","2020-01-10","","1683375425","0","0"
"351","2020-01-17","","1225967125","1","1000000000"
"352","2020-01-24","","0","2","886941800"
"353","2020-01-31","","0","1","386956000"
"354","2020-02-07","","372868110","0","0"
"355","2020-02-14","","0","1","798697400"
"356","2020-02-21","","0","1","359572000"
"357","2020-02-28","","371973830","0","0"
"358","2020-03-06","","801365640","0","0"
"359","2020-03-13","","290916085","1","1000000000"
"360","2020-03-20","","707367235","0","0"
"361","2020-03-27","","188195440","1","1000000000"
"362","2020-04-03","","0","1","616130500"
"363","2020-04-10","","0","1","350725000"
"364","2020-04-17","","320852305","0","0"
"365","2020-04-24","","660538520","0","0"
"366","2020-05-01","","985770885","0","0"
"367","2020-05-08","","1327551715","0","0"
"368","2020-05-15","","1751951140","0","0"
"369","2020-05-22","","2255335210","0","0"
"370","2020-05-29","","2855462700","0","0"
"371","2020-06-05","","1519597420","2","1000000000"
"372","2020-06-12","","1059631065","1","1000000000"
"373","2020-06-19","","1601343530","0","0"
"374","2020-06-26","","1188343675","1","1000000000"
"375","2020-07-03","","730371255","1","1000000000"
"376","2020-07-10","","0","3","412353200"
"377","2020-07-17","","402171575","0","0"
"378","2020-07-24","","843587990","0","0"
"379","2020-07-31","","1326515335","0","0"
"380","2020-08-07","","0","2","923347500"
"381","2020-08-14","","0","1","381063500"
"382","2020-08-21","","0","1","369188600"
"383","2020-08-28","","378153785","0","0"
"384","2020-09-04","","848389185","0","0"
"385","2020-09-11","","353636415","1","1000000000"
"386","2020-09-18","","804624070","0","0"
"387","2020-09-25","","1282685065","0","0"
"388","2020-10-02","","1819256050","0","0"
"389","2020-10-09","","0","3","783897800"
"390","2020-10-16","","391476860","0","0"
"391","2020-10-23","","847273605","0","0"
"392","2020-10-30","","0","2","675744100"
"393","2020-11-06","","0","1","388842900"
"394","2020-11-13","","366674380","0","0"
"395","2020-11-20","","0","3","270621900"
"396","2020-11-27","","366819660","0","0"
"397","2020-12-04","","812294860","0","0"
"398","2020-12-11","","1296202550","0","0"
"399","2020-12-18","","1834932435","0","0"
"400","2020-12-25","","2441887750","0","0"
"401","2021-01-08","","3127268000","0","0"
"402","2021-01-15","","3744761225","0","0"
"403","2021-01-22","","4415642950","0","0"
"404","2021-01-29","","4159928850","1","1000000000"
"405","2021-02-05","","3839676215","1","1000000000"
"406","2021-02-12","","4469314595","0","0"
"407","2021-02-19","","5124236005","0","0"
"408","2021-02-26","","5826847840","0","0"
"409","2021-03-05","","4541466095","2","1000000000"
"410","2021-03-12","","5192036450","0","0"
"411","2021-03-19","","4852667870","1","1000000000"
"412","2021-03-26","","5499152315","0","0"
"413","2021-04-02","","5226989110","1","1000000000"
"414","2021-04-09","","4871127215","1","1000000000"
"415","2021-04-16","","0","6","916445700"
"416","2021-04-23","","0","1","429819100"
"417","2021-04-30","","0","2","209683200"
"418","2021-05-07","","0","1","389059300"
"419","2021-05-14","","0","2","190298900"
"420","2021-05-21","","375095330","0","0"
"421","2021-05-28","","794723940","0","0"
"422","2021-06-04","","1233906425","0","0"
"423","2021-06-11","","0","2","849866300"
"424","2021-06-18","","396864750","0","0"
"425","2021-06-25","","831040900","0","0"
"426","2021-07-02","","316221110","1","1000000000"
"427","2021-07-09","","0","2","383434200"
"428","2021-07-16","","372261370","0","0"
"429","2021-07-23","","789467390","0","0"
"430","2021-07-30","","1245188435","0","0"
"431","2021-08-06","","1739327690","0","0"
"432","2021-08-13","","2230422760","0","0"
"433","2021-08-20","","0","3","924772200"
"434","2021-08-27","","0","1","380539500"
"435","2021-09-03","","0","1","381436800"
"436","2021-09-10","","0","1","369299700"
"437","2021-09-17","","0","2","179193600"
"438","2021-09-24","","0","2","178941700"
"439","2021-10-01","","0","4","88576400"
"440","2021-10-08","","354102975","0","0"
"441","2021-10-15","","775975100","0","0"
"442","2021-10-22","","1241142145","0","0"
"443","2021-10-29","","758020130","1","1000000000"
"444","2021-11-05","","1238948930","0","0"
"445","2021-11-12","","779732175","1","1000000000"
"446","2021-11-19","","256204385","1","1000000000"
"447","2021-11-26","","695878330","0","0"
"448","2021-12-03","","170579150","1","1000000000"
"449","2021-12-10","","0","1","591586300"
"450","2021-12-17","","376930305","0","0"
"451","2021-12-24","","0","1","835216700"
"452","2022-01-07","","0","3","139643300"
"453","2022-01-14","","0","1","392246900"
"454","2022-01-21","","0","2","184610500"
"455","2022-01-28","","0","1","358799300"
"456","2022-02-04","","351220380","0","0"
"457","2022-02-11","","767606325","0","0"
"458","2022-02-18","","1233867515","0","0"
"459","2022-02-25","","0","2","876605800"
"460","2022-03-04","","0","2","185574900"
"461","2022-03-11","","350130755","0","0"
"462","2022-03-18","","789093935","0","0"
"463","2022-03-25","","256511440","1","1000000000"
"464","2022-04-01","","724731120","0","0"
"465","2022-04-08","","0","2","612005700"
"466","2022-04-15","","0","1","371149000"
"467","2022-04-22","","0","1","363023100"
"468","2022-04-29","","346112810","0","0"
"469","2022-05-06","","0","1","766258900"
"470","2022-05-13","","345223985","0","0"
"471","2022-05-20","","0","3","261527700"
"472","2022-05-27","","347257105","0","0"
"473","2022-06-03","","761236930","0","0"
"474","2022-06-10","","1258629865","0","0"
"475","2022-06-17","","1798521465","0","0"
"476","2022-06-24","","1404246345","1","1000000000"
"477","2022-07-01","","1933822255","0","0"
"478","2022-07-08","","2525811230","0","0"
"479","2022-07-15","","2114492070","1","1000000000"
"480","2022-07-22","","2683003435","0","0"
"481","2022-07-29","","3264697670","0","0"
"482","2022-08-05","","2892776345","1","1000000000"
"483","2022-08-13","","2448680740","1","1000000000"
"484","2022-08-19","","1016148635","2","1000000000"
"485","2022-08-26","","1563657040","0","0"
"486","2022-09-02","","104712900","2","1000000000"
"487","2022-09-09","","0","1","552858100"
"488","2022-09-16","","0","1","383488500"
"489","2022-09-23","","0","1","354131100"
"490","2022-09-30","","363773865","0","0"
"491","2022-10-07","","0","1","773648000"
"492","2022-10-14","","0","1","366686800"
"493","2022-10-21","","362128220","0","0"
"494","2022-10-28","","0","2","395981700"
"495","2022-11-04","","364184980","0","0"
"496","2022-11-11","","0","2","405019800"
"497","2022-11-18","","353930960","0","0"
"498","2022-11-25","","790251330","0","0"
"499","2022-12-02","","1258068270","0","0"
"500","2022-12-09","","1774703030","0","0"
"501","2022-12-16","","1348731375","1","1000000000"
"502","2022-12-23","","1913011705","0","0"
"503","2022-12-30","","2536777440","0","0"
"504","2023-01-06","","2118551250","1","1000000000"
"505","2023-01-13","","2705376860","0","0"
"506","2023-01-20","","1323589725","2","1000000000"
"507","2023-01-27","","846306770","1","1000000000"
"508","2023-02-03","","363778090","1","1000000000"
"509","2023-02-10","","797065930","0","0"
"510","2023-02-17","","1284408195","0","0"
"511","2023-02-24","","1776990695","0","0"
"512","2023-03-03","","1304641875","1","1000000000"
"513","2023-03-10","","1793659590","0","0"
"514","2023-03-17","","1306911980","1","1000000000"
"515","2023-03-24","","1846022580","0","0"
"516","2023-03-31","","372374340","2","1000000000"
"517","2023-04-07","","813677235","0","0"
"518","2023-04-14","","305177955","1","1000000000"
"519","2023-04-21","","743906085","0","0"
"520","2023-04-28","","232407180","1","1000000000"
"521","2023-05-05","","0","1","638520100"
"522","2023-05-12","","366464655","0","0"
"523","2023-05-19","","776983410","0","0"
"524","2023-05-26","","238111585","1","1000000000"
"525","2023-06-02","","650728380","0","0"
"526","2023-06-09","","1095600170","0","0"
"527","2023-06-16","","1589401330","0","0"
"528","2023-06-23","","1101315455","1","1000000000"
"529","2023-06-30","","1593884710","0","0"
"530","2023-07-07","","119381960","2","1000000000"
"531","2023-07-14","","527312195","0","0"
"532","2023-07-21","","0","3","321126500"
"533","2023-07-28","","353679775","0","0"
"534","2023-08-04","","798902130","0","0"
"535","2023-08-11","","1240705000","0","0"
"536","2023-08-18","","734146400","1","1000000000"
"537","2023-08-25","","0","2","591245200"
"538","2023-09-01","","365023765","0","0"
"539","2023-09-08","","788274925","0","0"
"540","2023-09-15","","253416760","1","1000000000"
"541","2023-09-22","","0","3","214363900"
"542","2023-09-29","","355270600","0","0"
"543","2023-10-06","","779041445","0","0"
"544","2023-10-13","","1226494485","0","0"
"545","2023-10-20","","1727480875","0","0"
"546","2023-10-27","","1257626450","1","1000000000"
"547","2023-11-03","","0","2","875502100"
"548","2023-11-10","","359358250","0","0"
"549","2023-11-17","","0","1","780388600"
"550","2023-11-24","","0","1","355939600"
"551","2023-12-01","","0","1","360740200"
"552","2023-12-08","","0","1","366833400"
"553","2023-12-15","","356888310","0","0"
"554","2023-12-22","","0","1","792744800"
"555","2023-12-29","","377317740","0","0"
"556","2024-01-05","","732601355","0","0"
"557","2024-01-12","","171654495","1","1000000000"
"558","2024-01-19","","578024470","0","0"
"559","2024-01-26","","1015997335","0","0"
"560","2024-02-02","","1514273370","0","0"
"561","2024-02-09","","1035102155","1","1000000000"
"562","2024-02-16","","1524980265","0","0"
"563","2024-02-23","","2021090665","0","0"
"564","2024-03-01","","1599136785","1","1000000000"
