"数字","直近100回の出現回数","前回からの間隔","過去出現回数"
"1","17","6","298"
"2","14","10","317"
"3","14","0","292"
"4","11","2","291"
"5","14","5","304"
"6","19","0","331"
"7","13","3","276"
"8","18","2","298"
"9","10","1","261"
"10","14","2","309"
"11","12","6","283"
"12","11","9","292"
"13","12","4","278"
"14","13","6","287"
"15","15","7","309"
"16","14","1","301"
"17","11","18","275"
"18","19","9","305"
"19","13","7","310"
"20","12","6","300"
"21","14","1","315"
"22","11","11","301"
"23","5","0","294"
"24","15","39","307"
"25","15","2","295"
"26","17","1","314"
"27","12","11","309"
"28","17","2","301"
"29","12","5","282"
"30","17","12","298"
"31","7","7","286"
"32","14","4","300"
"33","13","2","286"
"34","11","0","281"
"35","17","5","313"
"36","14","0","307"
"37","20","3","322"
"38","16","1","315"
"39","12","4","296"
"40","15","1","286"
"41","14","3","282"
"42","17","13","318"
"43","19","0","309"
