"数字","全期間の出現回数","直近30回の出現回数","直近50回の出現回数","直近100回の出現回数","直近300回の出現回数","最後に出た回号","前回からの間隔","平均出現間隔","最大未出現間隔"
"1","129","5","13","24","59","686","1","5.32","21"
"2","114","4","6","17","51","678","9","5.97","22"
"3","119","4","7","15","49","686","1","5.77","20"
"4","136","4","7","19","55","670","17","4.93","23"
"5","116","4","9","15","54","685","2","5.91","25"
"6","129","11","14","20","54","679","8","5.23","21"
"7","132","6","11","23","58","677","10","5.16","22"
"8","134","8","9","22","61","684","3","5.12","34"
"9","150","8","12","27","61","680","7","4.49","20"
"10","130","6","8","20","53","681","6","5.27","30"
"11","131","5","7","16","53","683","4","5.23","27"
"12","120","7","15","29","63","681","6","5.71","28"
"13","145","6","11","14","62","681","6","4.70","24"
"14","131","7","10","19","57","684","3","5.24","19"
"15","152","6","9","20","62","687","0","4.51","35"
"16","116","9","13","18","54","686","1","5.92","31"
"17","136","8","10","16","60","684","3","5.06","23"
"18","131","7","10","20","63","686","1","5.08","25"
"19","122","6","9","16","59","684","3","5.60","24"
"20","120","4","8","19","55","685","2","5.74","25"
"21","131","5","6","16","53","685","2","5.23","20"
"22","137","16","19","24","69","687","0","5.02","20"
"23","127","4","8","18","46","687","0","5.44","38"
"24","123","7","11","18","45","687","0","5.61","28"
"25","110","4","7","12","49","687","0","6.17","33"
"26","137","3","10","18","61","680","7","4.92","25"
"27","130","3","6","16","53","680","7","5.22","22"
"28","128","5","7","17","50","683","4","5.37","45"
"29","137","4","9","24","67","687","0","5.04","21"
"30","141","1","6","14","60","682","5","4.83","28"
"31","134","6","7","19","57","685","2","5.14","21"
"32","135","3","6","17","64","686","1","5.06","25"
"33","115","5","12","19","53","681","6","5.96","28"
"34","142","4","8","24","62","686","1","4.86","22"
"35","138","5","14","21","56","686","1","4.99","23"
"36","138","7","9","20","57","687","0","4.96","18"
"37","113","3","7","14","55","670","17","5.83","29"
