"回号","抽せん日","等級","当せん口数","当せん金額"
"330","2019-08-16","5等","84712","1400"
"330","2019-08-16","6等","138394","1100"
"331","2019-08-23","1等","0","0"
"331","2019-08-23","2等","6","8872000"
"331","2019-08-23","3等","126","591400"
"331","2019-08-23","4等","4999","8700"
"331","2019-08-23","5等","78083","1300"
"331","2019-08-23","6等","134724","900"
"332","2019-08-30","1等","0","0"
"332","2019-08-30","2等","10","6623100"
"332","2019-08-30","3等","149","622300"
"332","2019-08-30","4等","7242","7500"
"332","2019-08-30","5等","107919","1200"
"332","2019-08-30","6等","177475","900"
"333","2019-09-06","1等","0","0"
"333","2019-09-06","2等","8","9777700"
"333","2019-09-06","3等","163","671800"
"333","2019-09-06","4等","7178","8900"
"333","2019-09-06","5等","109222","1400"
"333","2019-09-06","6等","177114","1100"
"334","2019-09-13","1等","0","0"
"334","2019-09-13","2等","7","12684700"
"334","2019-09-13","3等","194","640700"
"334","2019-09-13","4等","8126","8900"
"334","2019-09-13","5等","127766","1400"
"334","2019-09-13","6等","218183","1000"
"335","2019-09-20","1等","0","0"
"335","2019-09-20","2等","9","10528600"
"335","2019-09-20","3等","195","680200"
"335","2019-09-20","4等","8483","9100"
"335","2019-09-20","5等","132338","1400"
"335","2019-09-20","6等","227897","1000"
"336","2019-09-27","1等","0","0"
"336","2019-09-27","2等","6","17333900"
"336","2019-09-27","3等","181","804400"
"336","2019-09-27","4等","8759","9700"
"336","2019-09-27","5等","142505","1400"
"336","2019-09-27","6等","236100","1100"
"337","2019-10-04","1等","1","1000000000"
"337","2019-10-04","2等","15","7307200"
"337","2019-10-04","3等","248","618700"
"337","2019-10-04","4等","11324","7900"
"337","2019-10-04","5等","170249","1300"
"337","2019-10-04","6等","293615","900"
"338","2019-10-11","1等","1","1000000000"
"338","2019-10-11","2等","19","5112700"
"338","2019-10-11","3等","194","701000"
"338","2019-10-11","4等","9853","8000"
"338","2019-10-11","5等","148918","1300"
"338","2019-10-11","6等","258463","900"
"339","2019-10-18","1等","1","1000000000"
"339","2019-10-18","2等","11","8388400"
"339","2019-10-18","3等","145","890800"
"339","2019-10-18","4等","7414","10200"
"339","2019-10-18","5等","120717","1500"
"339","2019-10-18","6等","219031","1000"
"340","2019-10-25","1等","1","1000000000"
"340","2019-10-25","2等","10","8665400"
"340","2019-10-25","3等","138","879000"
"340","2019-10-25","4等","7307","9700"
"340","2019-10-25","5等","115794","1500"
"340","2019-10-25","6等","208956","1000"
"341","2019-11-01","1等","1","1000000000"
"341","2019-11-01","2等","28","3169000"
"341","2019-11-01","3等","160","776300"
"341","2019-11-01","4等","7811","9300"
"341","2019-11-01","5等","124104","1400"
"341","2019-11-01","6等","219507","1000"
"342","2019-11-08","1等","0","0"
"342","2019-11-08","2等","6","13918200"
"342","2019-11-08","3等","160","730600"
"342","2019-11-08","4等","7572","9000"
"342","2019-11-08","5等","118568","1400"
"342","2019-11-08","6等","208744","900"
"343","2019-11-15","1等","0","0"
"343","2019-11-15","2等","7","12200200"
"343","2019-11-15","3等","86","1390200"
"343","2019-11-15","4等","5697","12300"
"343","2019-11-15","5等","97660","1700"
"343","2019-11-15","6等","187577","1100"
"344","2019-11-22","1等","0","0"
"344","2019-11-22","2等","9","9436100"
"344","2019-11-22","3等","128","928800"
"344","2019-11-22","4等","7088","9800"
"344","2019-11-22","5等","112169","1500"
"344","2019-11-22","6等","184062","1100"
"345","2019-11-29","1等","1","1000000000"
"345","2019-11-29","2等","13","6971600"
"345","2019-11-29","3等","166","764300"
"345","2019-11-29","4等","7785","9500"
"345","2019-11-29","5等","127276","1400"
"345","2019-11-29","6等","220771","1000"
"346","2019-12-06","1等","1","1000000000"
"346","2019-12-06","2等","8","10549100"
"346","2019-12-06","3等","152","777200"
"346","2019-12-06","4等","7411","9300"
"346","2019-12-06","5等","116307","1400"
"346","2019-12-06","6等","221320","900"
"347","2019-12-13","1等","0","0"
"347","2019-12-13","2等","3","28386700"
"347","2019-12-13","3等","138","863900"
"347","2019-12-13","4等","6617","10500"
"347","2019-12-13","5等","114754","1500"
"347","2019-12-13","6等","201919","1000"
"348","2019-12-20","1等","0","0"
"348","2019-12-20","2等","8","11401900"
"348","2019-12-20","3等","157","813300"
"348","2019-12-20","4等","8482","8800"
"348","2019-12-20","5等","124300","1400"
"348","2019-12-20","6等","212396","1000"
"349","2019-12-27","1等","2","1000000000"
"349","2019-12-27","2等","12","8744800"
"349","2019-12-27","3等","235","625100"
"349","2019-12-27","4等","10738","8000"
"349","2019-12-27","5等","158812","1300"
"349","2019-12-27","6等","243446","1000"
"350","2020-01-10","1等","0","0"
"350","2020-01-10","2等","5","18728900"
"350","2020-01-10","3等","121","1083400"
"350","2020-01-10","4等","6766","11300"
"350","2020-01-10","5等","112411","1600"
"350","2020-01-10","6等","206560","1100"
"351","2020-01-17","1等","1","1000000000"
"351","2020-01-17","2等","17","5252200"
"351","2020-01-17","3等","191","654400"
"351","2020-01-17","4等","8478","8600"
"351","2020-01-17","5等","130438","1300"
"351","2020-01-17","6等","218272","1000"
"352","2020-01-24","1等","2","886941800"
"352","2020-01-24","2等","13","6928800"
"352","2020-01-24","3等","167","755100"
"352","2020-01-24","4等","7868","9400"
"352","2020-01-24","5等","121713","1500"
"352","2020-01-24","6等","207726","1000"
"353","2020-01-31","1等","1","386956000"
"353","2020-01-31","2等","6","10732300"
"353","2020-01-31","3等","132","682900"
"353","2020-01-31","4等","6959","7600"
"353","2020-01-31","5等","97058","1300"
"353","2020-01-31","6等","157583","1000"
"354","2020-02-07","1等","0","0"
"354","2020-02-07","2等","8","7729100"
"354","2020-02-07","3等","127","681600"
"354","2020-02-07","4等","6239","8100"
"354","2020-02-07","5等","91415","1300"
"354","2020-02-07","6等","138711","1100"
"355","2020-02-14","1等","1","798697400"
"355","2020-02-14","2等","12","5911600"
"355","2020-02-14","3等","153","649100"
"355","2020-02-14","4等","6515","8900"
"355","2020-02-14","5等","106580","1300"
"355","2020-02-14","6等","174779","1000"
"356","2020-02-21","1等","1","359572000"
"356","2020-02-21","2等","6","9961300"
"356","2020-02-21","3等","70","1195300"
"356","2020-02-21","4等","3631","13500"
"356","2020-02-21","5等","65274","1800"
"356","2020-02-21","6等","121276","1200"
"357","2020-02-28","1等","0","0"
"357","2020-02-28","2等","10","5953800"
"357","2020-02-28","3等","105","793800"
"357","2020-02-28","4等","5414","9000"
"357","2020-02-28","5等","86659","1300"
"357","2020-02-28","6等","150754","900"
"358","2020-03-06","1等","0","0"
"358","2020-03-06","2等","7","10038100"
"358","2020-03-06","3等","119","826600"
"358","2020-03-06","4等","5902","9700"
"358","2020-03-06","5等","88702","1600"
"358","2020-03-06","6等","161037","1000"
"359","2020-03-13","1等","1","1000000000"
"359","2020-03-13","2等","12","6601900"
"359","2020-03-13","3等","174","637400"
"359","2020-03-13","4等","8048","8000"
"359","2020-03-13","5等","124609","1200"
"359","2020-03-13","6等","207525","900"
"360","2020-03-20","1等","0","0"
"360","2020-03-20","2等","8","8665100"
"360","2020-03-20","3等","88","1102800"
"360","2020-03-20","4等","4676","12100"
"360","2020-03-20","5等","81988","1700"
"360","2020-03-20","6等","151412","1100"
"361","2020-03-27","1等","1","1000000000"
"361","2020-03-27","2等","7","11398400"
"361","2020-03-27","3等","110","1015400"
"361","2020-03-27","4等","5816","11200"
"361","2020-03-27","5等","97576","1600"
"361","2020-03-27","6等","176827","1100"
"362","2020-04-03","1等","1","616130500"
"362","2020-04-03","2等","8","8690600"
"362","2020-04-03","3等","160","608300"
"362","2020-04-03","4等","7457","7600"
"362","2020-04-03","5等","111255","1200"
"362","2020-04-03","6等","181273","900"
"363","2020-04-10","1等","1","350725000"
"363","2020-04-10","2等","7","8122100"
"363","2020-04-10","3等","135","589500"
"363","2020-04-10","4等","5237","8900"
"363","2020-04-10","5等","78546","1400"
"363","2020-04-10","6等","131595","1000"
"364","2020-04-17","1等","0","0"
"364","2020-04-17","2等","4","13281900"
"364","2020-04-17","3等","96","774700"
"364","2020-04-17","4等","5078","8500"
"364","2020-04-17","5等","77996","1300"
"364","2020-04-17","6等","131596","1000"
"365","2020-04-24","1等","0","0"
"365","2020-04-24","2等","4","13698900"
"365","2020-04-24","3等","79","971000"
"365","2020-04-24","4等","4806","9300"
"365","2020-04-24","5等","74823","1400"
"365","2020-04-24","6等","126609","1000"
"366","2020-05-01","1等","0","0"
"366","2020-05-01","2等","4","13274200"
"366","2020-05-01","3等","79","940900"
"366","2020-05-01","4等","4104","10600"
"366","2020-05-01","5等","67535","1500"
"366","2020-05-01","6等","126618","1000"
"367","2020-05-08","1等","0","0"
"367","2020-05-08","2等","9","6356300"
"367","2020-05-08","3等","102","785100"
"367","2020-05-08","4等","4862","9600"
"367","2020-05-08","5等","75636","1500"
"367","2020-05-08","6等","128128","1100"
"368","2020-05-15","1等","0","0"
"368","2020-05-15","2等","8","8791700"
"368","2020-05-15","3等","143","688500"
"368","2020-05-15","4等","6742","8500"
"368","2020-05-15","5等","105147","1300"
"368","2020-05-15","6等","171958","1000"
"369","2020-05-22","1等","0","0"
"369","2020-05-22","2等","5","167348000"
"369","2020-05-22","3等","162","723000"
"369","2020-05-22","4等","7659","8900"
"369","2020-05-22","5等","120115","1400"
"369","2020-05-22","6等","200556","1000"
"370","2020-05-29","1等","0","0"
"370","2020-05-29","2等","12","8162000"
"370","2020-05-29","3等","193","710400"
"370","2020-05-29","4等","8425","9500"
"370","2020-05-29","5等","136361","1400"
"370","2020-05-29","6等","229546","1000"
"371","2020-06-05","1等","2","1000000000"
"371","2020-06-05","2等","17","6278700"
"371","2020-06-05","3等","263","568100"
"371","2020-06-05","4等","10712","8100"
"371","2020-06-05","5等","156650","1300"
"371","2020-06-05","6等","272106","900"
"372","2020-06-12","1等","1","1000000000"
"372","2020-06-12","2等","11","8192000"
"372","2020-06-12","3等","142","888400"
"372","2020-06-12","4等","7720","9500"
"372","2020-06-12","5等","119368","1500"
"372","2020-06-12","6等","220175","1000"
"373","2020-06-19","1等","0","0"
"373","2020-06-19","2等","11","8060400"
"373","2020-06-19","3等","134","926300"
"373","2020-06-19","4等","8026","9000"
"373","2020-06-19","5等","124274","1400"
"373","2020-06-19","6等","208406","1000"
"374","2020-06-26","1等","1","1000000000"
"374","2020-06-26","2等","10","9693300"
"374","2020-06-26","3等","246","551600"
"374","2020-06-26","4等","10899","7300"
"374","2020-06-26","5等","157940","1200"
"374","2020-06-26","6等","259076","900"
"375","2020-07-03","1等","1","1000000000"
"375","2020-07-03","2等","23","3910600"
"375","2020-07-03","3等","138","912400"
"375","2020-07-03","4等","7761","9500"
"375","2020-07-03","5等","123469","1400"
"375","2020-07-03","6等","222110","1000"
"376","2020-07-10","1等","3","412353200"
"376","2020-07-10","2等","9","9345100"
"376","2020-07-10","3等","185","636400"
"376","2020-07-10","4等","8521","8100"
"376","2020-07-10","5等","123352","1300"
"376","2020-07-10","6等","209047","1000"
"377","2020-07-17","1等","0","0"
"377","2020-07-17","2等","5","13102600"
"377","2020-07-17","3等","127","722100"
"377","2020-07-17","4等","6138","8700"
"377","2020-07-17","5等","95816","1300"
"377","2020-07-17","6等","156051","1000"
"378","2020-07-24","1等","0","0"
"378","2020-07-24","2等","12","6106500"
"378","2020-07-24","3等","151","679300"
"378","2020-07-24","4等","6707","8900"
"378","2020-07-24","5等","105104","1400"
"378","2020-07-24","6等","175197","1000"
"379","2020-07-31","1等","0","0"
"379","2020-07-31","2等","18","4511300"
"379","2020-07-31","3等","230","494200"
"379","2020-07-31","4等","9310","7100"
"379","2020-07-31","5等","125612","1300"
"379","2020-07-31","6等","200191","1000"
"380","2020-08-07","1等","2","923347500"
"380","2020-08-07","2等","15","5764000"
"380","2020-08-07","3等","150","806900"
"380","2020-08-07","4等","7801","9100"
"380","2020-08-07","5等","118016","1400"
"380","2020-08-07","6等","215179","1000"
"381","2020-08-14","1等","1","381063500"
"381","2020-08-14","2等","5","12497500"
"381","2020-08-14","3等","115","760700"
"381","2020-08-14","4等","5407","9400"
"381","2020-08-14","5等","84842","1400"
"381","2020-08-14","6等","151506","1000"
"382","2020-08-21","1等","1","369188600"
"382","2020-08-21","2等","4","15462300"
"382","2020-08-21","3等","129","671200"
"382","2020-08-21","4等","5782","8700"
"382","2020-08-21","5等","89293","1400"
"382","2020-08-21","6等","150505","1000"
"383","2020-08-28","1等","0","0"
"383","2020-08-28","2等","10","6319700"
"383","2020-08-28","3等","145","610100"
"383","2020-08-28","4等","6176","8400"
"383","2020-08-28","5等","97501","1300"
"383","2020-08-28","6等","153383","1000"
"384","2020-09-04","1等","0","0"
"384","2020-09-04","2等","20","3807600"
"384","2020-09-04","3等","190","561100"
"384","2020-09-04","4等","7883","7900"
"384","2020-09-04","5等","112856","1300"
"384","2020-09-04","6等","196135","900"
"385","2020-09-11","1等","1","1000000000"
"385","2020-09-11","2等","12","6828200"
"385","2020-09-11","3等","202","567800"
"385","2020-09-11","4等","9477","7100"
"385","2020-09-11","5等","118923","1300"
"385","2020-09-11","6等","193635","1000"
"386","2020-09-18","1等","0","0"
"386","2020-09-18","2等","6","12273200"
"386","2020-09-18","3等","86","1198700"
"386","2020-09-18","4等","4931","12200"
"386","2020-09-18","5等","89546","1600"
"386","2020-09-18","6等","157340","1100"
"387","2020-09-25","1等","0","0"
"387","2020-09-25","2等","9","8797100"
"387","2020-09-25","3等","124","893800"
"387","2020-09-25","4等","6062","10700"
"387","2020-09-25","5等","98008","1600"
"387","2020-09-25","6等","189963","1000"
"388","2020-10-02","1等","0","0"
"388","2020-10-02","2等","11","8005900"
"388","2020-10-02","3等","118","1044800"
"388","2020-10-02","4等","6967","10300"
"388","2020-10-02","5等","162500","1500"
"388","2020-10-02","6等","206896","1000"
"389","2020-10-09","1等","3","783897800"
"389","2020-10-09","2等","9","9751700"
"389","2020-10-09","3等","228","538900"
"389","2020-10-09","4等","8544","8400"
"389","2020-10-09","5等","128735","1300"
"389","2020-10-09","6等","214659","1000"
"390","2020-10-16","1等","0","0"
"390","2020-10-16","2等","6","10491400"
"390","2020-10-16","3等","111","793900"
"390","2020-10-16","4等","5177","9900"
"390","2020-10-16","5等","86684","1400"
"390","2020-10-16","6等","143274","1000"
"391","2020-10-23","1等","0","0"
"391","2020-10-23","2等","8","9366400"
"391","2020-10-23","3等","108","971300"
"391","2020-10-23","4等","5193","11800"
"391","2020-10-23","5等","92949","1600"
"391","2020-10-23","6等","160194","1100"
"392","2020-10-30","1等","2","675744100"
"392","2020-10-30","2等","10","8318100"
"392","2020-10-30","3等","139","837700"
"392","2020-10-30","4等","6569","10400"
"392","2020-10-30","5等","108197","1500"
"392","2020-10-30","6等","181718","1100"
"393","2020-11-06","1等","1","388842900"
"393","2020-11-06","2等","18","3523800"
"393","2020-11-06","3等","173","513200"
"393","2020-11-06","4等","7173","7200"
"393","2020-11-06","5等","98663","1300"
"393","2020-11-06","6等","160022","900"
"394","2020-11-13","1等","0","0"
"394","2020-11-13","2等","27","2268700"
"394","2020-11-13","3等","207","414200"
"394","2020-11-13","4等","7926","6300"
"394","2020-11-13","5等","94991","1300"
"394","2020-11-13","6等","164740","900"
"395","2020-11-20","1等","3","270621900"
"395","2020-11-20","2等","7","10529500"
"395","2020-11-20","3等","80","1289800"
"395","2020-11-20","4等","4725","12800"
"395","2020-11-20","5等","83410","1700"
"395","2020-11-20","6等","180779","1000"
"396","2020-11-27","1等","0","0"
"396","2020-11-27","2等","7","8652900"
"396","2020-11-27","3等","92","921700"
"396","2020-11-27","4等","5149","9600"
"396","2020-11-27","5等","82997","1400"
"396","2020-11-27","6等","134718","1100"
"397","2020-12-04","1等","0","0"
"397","2020-12-04","2等","15","4876800"
"397","2020-12-04","3等","131","781700"
"397","2020-12-04","4等","7060","8500"
"397","2020-12-04","5等","107285","1300"
"397","2020-12-04","6等","177064","1000"
"398","2020-12-11","1等","0","0"
"398","2020-12-11","2等","9","8938000"
"398","2020-12-11","3等","135","834200"
"398","2020-12-11","4等","7096","9300"
"398","2020-12-11","5等","111518","1400"
"398","2020-12-11","6等","197911","1000"
"399","2020-12-18","1等","0","0"
"399","2020-12-18","2等","14","6212300"
"399","2020-12-18","3等","137","888700"
"399","2020-12-18","4等","7501","9500"
"399","2020-12-18","5等","112970","1500"
"399","2020-12-18","6等","197889","1000"
"400","2020-12-25","1等","0","0"
"400","2020-12-25","2等","6","16604900"
"400","2020-12-25","3等","219","636800"
"400","2020-12-25","4等","9043","9000"
"400","2020-12-25","5等","135365","1400"
"400","2020-12-25","6等","219734","1000"
"401","2021-01-08","1等","0","0"
"401","2021-01-08","2等","6","18702000"
"401","2021-01-08","3等","173","908000"
"401","2021-01-08","4等","9392","9800"
"401","2021-01-08","5等","157204","1400"
"401","2021-01-08","6等","263431","1000"
"402","2021-01-15","1等","0","0"
"402","2021-01-15","2等","11","9424800"
"402","2021-01-15","3等","199","729300"
"402","2021-01-15","4等","8946","9500"
"402","2021-01-15","5等","139603","1500"
"402","2021-01-15","6等","253104","1000"
"403","2021-01-22","1等","0","0"
"403","2021-01-22","2等","16","7034600"
"403","2021-01-22","3等","209","753900"
"403","2021-01-22","4等","10493","8800"
"403","2021-01-22","5等","160099","1400"
"403","2021-01-22","6等","277426","1000"
"404","2021-01-29","1等","1","1000000000"
"404","2021-01-29","2等","19","6435200"
"404","2021-01-29","3等","338","506400"
"404","2021-01-29","4等","12289","8100"
"404","2021-01-29","5等","177419","1300"
"404","2021-01-29","6等","299495","1000"
"405","2021-02-05","1等","1","1000000000"
"405","2021-02-05","2等","40","2839700"
"405","2021-02-05","3等","265","600000"
"405","2021-02-05","4等","11201","8300"
"405","2021-02-05","5等","160364","1400"
"405","2021-02-05","6等","279209","1000"
"406","2021-02-12","1等","0","0"
"406","2021-02-12","2等","9","11590300"
"406","2021-02-12","3等","140","1043100"
"406","2021-02-12","4等","8035","10600"
"406","2021-02-12","5等","132750","1500"
"406","2021-02-12","6等","234763","1100"
"407","2021-02-19","1等","0","0"
"407","2021-02-19","2等","9","11974300"
"407","2021-02-19","3等","140","1077600"
"407","2021-02-19","4等","7275","12100"
"407","2021-02-19","5等","130344","1600"
"407","2021-02-19","6等","236344","1100"
"408","2021-02-26","1等","0","0"
"408","2021-02-26","2等","17","6668900"
"408","2021-02-26","3等","201","789600"
"408","2021-02-26","4等","8976","10300"
"408","2021-02-26","5等","143898","1500"
"408","2021-02-26","6等","239143","1100"
"409","2021-03-05","1等","2","1000000000"
"409","2021-03-05","2等","12","9712400"
"409","2021-03-05","3等","209","780700"
"409","2021-03-05","4等","9617","9900"
"409","2021-03-05","5等","149678","1500"
"409","2021-03-05","6等","250298","1100"
"410","2021-03-12","1等","0","0"
"410","2021-03-12","2等","12","9016600"
"410","2021-03-12","3等","151","1003100"
"410","2021-03-12","4等","8484","10400"
"410","2021-03-12","5等","128783","1700"
"410","2021-03-12","6等","234655","1100"
"411","2021-03-19","1等","1","1000000000"
"411","2021-03-19","2等","22","5005100"
"411","2021-03-19","3等","239","644900"
"411","2021-03-19","4等","11396","7900"
"411","2021-03-19","5等","168943","1300"
"411","2021-03-19","6等","296752","900"
"412","2021-03-26","1等","0","0"
"412","2021-03-26","2等","16","6660200"
"412","2021-03-26","3等","174","857300"
"412","2021-03-26","4等","9577","9100"
"412","2021-03-26","5等","139977","1500"
"412","2021-03-26","6等","230790","1100"
"413","2021-04-02","1等","1","1000000000"
"413","2021-04-02","2等","14","8438000"
"413","2021-04-02","3等","187","884400"
"413","2021-04-02","4等","9545","10100"
"413","2021-04-02","5等","155215","1500"
"413","2021-04-02","6等","270403","1000"
"414","2021-04-09","1等","1","1000000000"
"414","2021-04-09","2等","20","5285900"
"414","2021-04-09","3等","213","694800"
"414","2021-04-09","4等","9472","9100"
"414","2021-04-09","5等","143262","1400"
"414","2021-04-09","6等","233701","1100"
"415","2021-04-16","1等","6","916445700"
"415","2021-04-16","2等","17","6169300"
"415","2021-04-16","3等","200","734100"
"415","2021-04-16","4等","9672","8900"
"415","2021-04-16","5等","150747","1400"
"415","2021-04-16","6等","253869","1000"
"416","2021-04-23","1等","1","429819100"
"416","2021-04-23","2等","10","7142100"
"416","2021-04-23","3等","161","621000"
"416","2021-04-23","4等","7094","8200"
"416","2021-04-23","5等","106925","1300"
"416","2021-04-23","6等","175578","1000"
"417","2021-04-30","1等","2","209683200"
"417","2021-04-30","2等","18","3842300"
"417","2021-04-30","3等","137","706700"
"417","2021-04-30","4等","7439","7600"
"417","2021-04-30","5等","102586","1300"
"417","2021-04-30","6等","186587","900"
"418","2021-05-07","1等","1","389059300"
"418","2021-05-07","2等","5","13020600"
"418","2021-05-07","3等","89","1024000"
"418","2021-05-07","4等","4923","10800"
"418","2021-05-07","5等","81754","1600"
"418","2021-05-07","6等","132113","1200"
"419","2021-05-14","1等","2","190298900"
"419","2021-05-14","2等","4","15874700"
"419","2021-05-14","3等","146","608800"
"419","2021-05-14","4等","6512","8000"
"419","2021-05-14","5等","92017","1400"
"419","2021-05-14","6等","152031","1000"
"420","2021-05-21","1等","0","0"
"420","2021-05-21","2等","7","8680800"
"420","2021-05-21","3等","85","1000800"
"420","2021-05-21","4等","5018","9900"
"420","2021-05-21","5等","83656","1400"
"420","2021-05-21","6等","140942","1000"
"421","2021-05-28","1等","0","0"
"421","2021-05-28","2等","6","11596300"
"421","2021-05-28","3等","120","811700"
"421","2021-05-28","4等","6058","9400"
"421","2021-05-28","5等","94384","1400"
"421","2021-05-28","6等","157399","1100"
"422","2021-06-04","1等","0","0"
"422","2021-06-04","2等","8","9103000"
"422","2021-06-04","3等","206","494900"
"422","2021-06-04","4等","7074","8400"
"422","2021-06-04","5等","97729","1500"
"422","2021-06-04","6等","173131","1000"
"423","2021-06-11","1等","2","849866300"
"423","2021-06-11","2等","11","7015200"
"423","2021-06-11","3等","122","885500"
"423","2021-06-11","4等","7194","8800"
"423","2021-06-11","5等","112047","1300"
"423","2021-06-11","6等","192350","1000"
"424","2021-06-18","1等","0","0"
"424","2021-06-18","2等","17","3807700"
"424","2021-06-18","3等","144","629300"
"424","2021-06-18","4等","6349","8300"
"424","2021-06-18","5等","95292","1300"
"424","2021-06-18","6等","153959","1000"
"425","2021-06-25","1等","0","0"
"425","2021-06-25","2等","6","12027500"
"425","2021-06-25","3等","138","732000"
"425","2021-06-25","4等","5493","10700"
"425","2021-06-25","5等","88916","1600"
"425","2021-06-25","6等","159744","1100"
"426","2021-07-02","1等","1","1000000000"
"426","2021-07-02","2等","5","16047800"
"426","2021-07-02","3等","121","928300"
"426","2021-07-02","4等","5774","11400"
"426","2021-07-02","5等","104229","1500"
"426","2021-07-02","6等","176644","1100"
"427","2021-07-09","1等","2","383434200"
"427","2021-07-09","2等","10","7307100"
"427","2021-07-09","3等","122","838500"
"427","2021-07-09","4等","5752","10400"
"427","2021-07-09","5等","97154","1500"
"427","2021-07-09","6等","183235","900"
"428","2021-07-16","1等","0","0"
"428","2021-07-16","2等","2","30630300"
"428","2021-07-16","3等","100","857600"
"428","2021-07-16","4等","4776","10500"
"428","2021-07-16","5等","78859","1500"
"428","2021-07-16","6等","134265","1100"
"429","2021-07-23","1等","0","0"
"429","2021-07-23","2等","15","4534800"
"429","2021-07-23","3等","132","721400"
"429","2021-07-23","4等","6151","9000"
"429","2021-07-23","5等","92298","1400"
"429","2021-07-23","6等","162590","1000"
"430","2021-07-30","1等","0","0"
"430","2021-07-30","2等","8","9329400"
"430","2021-07-30","3等","133","785600"
"430","2021-07-30","4等","6783","9000"
"430","2021-07-30","5等","104881","1400"
"430","2021-07-30","6等","175085","1000"
"431","2021-08-06","1等","0","0"
"431","2021-08-06","2等","14","5654000"
"431","2021-08-06","3等","110","1007400"
"431","2021-08-06","4等","7134","9100"
"431","2021-08-06","5等","107170","1400"
"431","2021-08-06","6等","200427","900"
"432","2021-08-13","1等","0","0"
"432","2021-08-13","2等","12","6875000"
"432","2021-08-13","3等","159","726400"
"432","2021-08-13","4等","7355","9200"
"432","2021-08-13","5等","116284","1400"
"432","2021-08-13","6等","205507","1000"
"433","2021-08-20","1等","3","924772200"
"433","2021-08-20","2等","5","18051800"
"433","2021-08-20","3等","208","607500"
"433","2021-08-20","4等","7787","9500"
"433","2021-08-20","5等","115046","1500"
"433","2021-08-20","6等","186504","1200"
"434","2021-08-27","1等","1","380539500"
"434","2021-08-27","2等","10","6231100"
"434","2021-08-27","3等","116","752000"
"434","2021-08-27","4等","5217","9800"
"434","2021-08-27","5等","84556","1400"
"434","2021-08-27","6等","150152","1000"
"435","2021-09-03","1等","1","381436800"
"435","2021-09-03","2等","17","3665700"
"435","2021-09-03","3等","183","476700"
"435","2021-09-03","4等","7126","7100"
"435","2021-09-03","5等","99874","1200"
"435","2021-09-03","6等","148388","1000"
"436","2021-09-10","1等","1","369299700"
"436","2021-09-10","2等","7","8803000"
"436","2021-09-10","3等","82","1052000"
"436","2021-09-10","4等","4061","12400"
"436","2021-09-10","5等","74584","1600"
"436","2021-09-10","6等","139501","1100"
"437","2021-09-17","1等","2","179193600"
"437","2021-09-17","2等","7","8580100"
"437","2021-09-17","3等","95","885000"
"437","2021-09-17","4等","4828","10200"
"437","2021-09-17","5等","80324","1500"
"437","2021-09-17","6等","146799","1000"
"438","2021-09-24","1等","2","178941700"
"438","2021-09-24","2等","7","8440000"
"438","2021-09-24","3等","197","419800"
"438","2021-09-24","4等","5374","9000"
"438","2021-09-24","5等","79677","1500"
"438","2021-09-24","6等","138136","1000"
"439","2021-10-01","1等","4","88576400"
"439","2021-10-01","2等","8","7335600"
"439","2021-10-01","3等","143","574500"
"439","2021-10-01","4等","6080","7900"
"439","2021-10-01","5等","91170","1300"
"439","2021-10-01","6等","153997","900"
"440","2021-10-08","1等","0","0"
"440","2021-10-08","2等","4","14358600"
"440","2021-10-08","3等","89","903400"
"440","2021-10-08","4等","4718","9900"
"440","2021-10-08","5等","78846","1400"
"440","2021-10-08","6等","134203","1000"
"441","2021-10-15","1等","0","0"
"441","2021-10-15","2等","8","8588600"
"441","2021-10-15","3等","103","933800"
"441","2021-10-15","4等","5503","10200"
"441","2021-10-15","5等","90085","1500"
"441","2021-10-15","6等","158968","1000"
"442","2021-10-22","1等","0","0"
"442","2021-10-22","2等","12","6279000"
"442","2021-10-22","3等","90","1172000"
"442","2021-10-22","4等","5564","11100"
"442","2021-10-22","5等","96830","1500"
"442","2021-10-22","6等","174526","1000"
"443","2021-10-29","1等","1","1000000000"
"443","2021-10-29","2等","9","9471100"
"443","2021-10-29","3等","108","1104900"
"443","2021-10-29","4等","6249","11200"
"443","2021-10-29","5等","109679","1500"
"443","2021-10-29","6等","206470","1000"
"444","2021-11-05","1等","0","0"
"444","2021-11-05","2等","19","4101500"
"444","2021-11-05","3等","130","839200"
"444","2021-11-05","4等","6843","9300"
"444","2021-11-05","5等","111162","1400"
"444","2021-11-05","6等","194994","900"
"445","2021-11-12","1等","1","1000000000"
"445","2021-11-12","2等","8","11093600"
"445","2021-11-12","3等","143","868800"
"445","2021-11-12","4等","6894","10500"
"445","2021-11-12","5等","117831","1500"
"445","2021-11-12","6等","207372","1000"
"446","2021-11-19","1等","1","1000000000"
"446","2021-11-19","2等","15","5268700"
"446","2021-11-19","3等","157","704700"
"446","2021-11-19","4等","7985","8100"
"446","2021-11-19","5等","120075","1300"
"446","2021-11-19","6等","212024","900"
"447","2021-11-26","1等","0","0"
"447","2021-11-26","2等","18","3943200"
"447","2021-11-26","3等","182","545900"
"447","2021-11-26","4等","7890","7300"
"447","2021-11-26","5等","113255","1200"
"447","2021-11-26","6等","182687","900"
"448","2021-12-03","1等","1","1000000000"
"448","2021-12-03","2等","8","9756100"
"448","2021-12-03","3等","127","860300"
"448","2021-12-03","4等","5855","10900"
"448","2021-12-03","5等","99083","1500"
