"回号","抽せん日","販売実績額","キャリーオーバー","1等口数","1等当せん金額"
"136","2003-05-22","","0","2","155571800"
"137","2003-05-29","","0","3","103964400"
"138","2003-06-05","","0","2","146219800"
"139","2003-06-12","","0","3","95226100"
"140","2003-06-19","","0","2","146136000"
"141","2003-06-26","","0","5","60720900"
"142","2003-07-03","","0","4","76211200"
"143","2003-07-10","","0","2","149820700"
"144","2003-07-17","","315860676","0","0"
"145","2003-07-24","","0","2","360495400"
"146","2003-07-31","","0","21","13944100"
"147","2003-08-07","","85463241","1","200000000"
"148","2003-08-14","","0","3","119125300"
"149","2003-08-21","","0","3","95559500"
"150","2003-08-28","","0","2","149826700"
"151","2003-09-04","","0","7","39224600"
"152","2003-09-11","","0","5","55085200"
"153","2003-09-18","","0","6","43090900"
"154","2003-09-25","","0","7","35014200"
"155","2003-10-02","","0","6","42285800"
"156","2003-10-09","","291019816","0","0"
"157","2003-10-16","","250912445","1","400000000"
"158","2003-10-23","","0","2","328563300"
"159","2003-10-30","","324533948","0","0"
"160","2003-11-06","","0","2","380265800"
"161","2003-11-13","","0","3","113803800"
"162","2003-11-20","","301796845","0","0"
"163","2003-11-27","","0","5","142049400"
"164","2003-12-04","","0","5","66335100"
"165","2003-12-11","","0","2","146957800"
"166","2003-12-18","","133626797","1","200000000"
"167","2003-12-25","","0","3","174050500"
"168","2004-01-08","","176352642","1","200000000"
"169","2004-01-15","","0","3","176290100"
"170","2004-01-22","","0","4","75230300"
"171","2004-01-29","","0","6","51417700"
"172","2004-02-05","","0","9","33745300"
"173","2004-02-12","","0","7","43030700"
"174","2004-02-19","","125385155","1","200000000"
"175","2004-02-26","","0","2","244241500"
"176","2004-03-04","","0","5","62011300"
"177","2004-03-11","","0","4","74875100"
"178","2004-03-18","","0","6","47741800"
"179","2004-03-25","","0","3","95437500"
"180","2004-04-01","","0","2","136457500"
"181","2004-04-08","","0","4","78004400"
"182","2004-04-15","","0","3","108364000"
"183","2004-04-22","","327385446","0","0"
"184","2004-04-29","","0","3","252447300"
"185","2004-05-06","","0","2","149621200"
"186","2004-05-13","","104420387","1","200000000"
"187","2004-05-20","","0","4","111906100"
"188","2004-05-27","","0","10","27662200"
"189","2004-06-03","","124632575","1","200000000"
"190","2004-06-10","","58390423","1","400000000"
"191","2004-06-17","","402133773","0","0"
"192","2004-06-24","","0","12","70108900"
"193","2004-07-01","","333510049","0","0"
"194","2004-07-08","","0","3","249322600"
"195","2004-07-15","","0","2","149103500"
"196","2004-07-22","","0","5","57127200"
"197","2004-07-29","","0","7","37492700"
"198","2004-08-05","","92471147","1","200000000"
"199","2004-08-12","","0","16","25199600"
"200","2004-08-19","","0","6","42904300"
"201","2004-08-26","","93913560","1","200000000"
"202","2004-09-02","","0","2","212108900"
"203","2004-09-09","","0","3","97543500"
"204","2004-09-16","","0","2","150342700"
"205","2004-09-23","","0","3","87669500"
"206","2004-09-30","","0","2","148159800"
"207","2004-10-07","","283282291","0","0"
"208","2004-10-14","","0","2","332831600"
"209","2004-10-21","","314141705","0","0"
"210","2004-10-28","","0","2","390786900"
"211","2004-11-04","","105864743","1","200000000"
"212","2004-11-11","","0","2","241846900"
"213","2004-11-18","","118533875","1","200000000"
"214","2004-11-25","","0","3","155943200"
"215","2004-12-02","","0","4","80653700"
"216","2004-12-09","","0","3","108838100"
"217","2004-12-16","","0","4","74449600"
"218","2004-12-23","","0","5","55485900"
"219","2004-12-30","","122412467","1","200000000"
"220","2005-01-06","","428004419","0","0"
"221","2005-01-13","","0","3","320380000"
"222","2005-01-20","","0","4","84878500"
"223","2005-01-27","","0","4","84933700"
"224","2005-02-03","","121214401","1","200000000"
"225","2005-02-10","","0","4","127130900"
"226","2005-02-17","","158668297","1","200000000"
"227","2005-02-24","","0","9","59350200"
"228","2005-03-03","","0","4","75758600"
"229","2005-03-10","","0","3","103016200"
"230","2005-03-17","","0","167","1814700"
"231","2005-03-24","","0","4","78093700"
"232","2005-03-31","","321250560","0","0"
"233","2005-04-07","","0","3","252078300"
"234","2005-04-14","","0","3","110799800"
"235","2005-04-21","","0","3","107700400"
"236","2005-04-28","","0","2","170375000"
"237","2005-05-05","","0","3","92756600"
"238","2005-05-12","","0","4","82060000"
"239","2005-05-19","","0","7","41395900"
"240","2005-05-26","","0","3","99489600"
"241","2005-06-02","","0","4","73985600"
"242","2005-06-09","","314953610","0","0"
"243","2005-06-16","","3380993","2","400000000"
"244","2005-06-23","","0","2","166561100"
"245","2005-06-30","","0","7","41996300"
"246","2005-07-07","","0","2","173662500"
"247","2005-07-14","","0","2","163484400"
"248","2005-07-21","","0","3","102052700"
"249","2005-07-28","","0","3","104654700"
"250","2005-08-04","","0","3","102354500"
"251","2005-08-11","","0","4","73942000"
"252","2005-08-18","","0","3","102828600"
"253","2005-08-25","","125134321","1","200000000"
"254","2005-09-01","","0","4","121926400"
"255","2005-09-08","","0","4","80324400"
"256","2005-09-15","","0","2","151371100"
"257","2005-09-22","","0","2","157898300"
"258","2005-09-29","","98183285","1","200000000"
"259","2005-10-06","","0","21","22911800"
"260","2005-10-13","","0","9","34541200"
"261","2005-10-20","","0","6","54815100"
"262","2005-10-27","","0","5","62629500"
"263","2005-11-03","","120489556","1","200000000"
"264","2005-11-10","","511391329","0","0"
"265","2005-11-17","","0","5","242164500"
"266","2005-11-24","","0","8","40409400"
"267","2005-12-01","","0","6","58511500"
"268","2005-12-08","","0","5","65174700"
"269","2005-12-15","","0","3","116598700"
"270","2005-12-22","","0","4","85350100"
"271","2005-12-29","","0","2","181185700"
"272","2006-01-05","","262959262","0","0"
"273","2006-01-12","","0","2","387920800"
"274","2006-01-19","","0","6","58469500"
"275","2006-01-26","","0","3","123320300"
"276","2006-02-02","","0","2","161097700"
"277","2006-02-09","","155943073","1","200000000"
"278","2006-02-16","","0","4","146432500"
"279","2006-02-23","","0","8","41770000"
