"数字","直近100回の出現回数","前回からの間隔","過去出現回数"
"1","16","1","296"
"2","16","6","315"
"3","14","1","290"
"4","8","5","288"
"5","18","4","303"
"6","16","6","327"
"7","14","5","273"
"8","19","2","297"
"9","7","12","258"
"10","16","1","307"
"11","12","7","282"
"12","14","0","290"
"13","12","2","276"
"14","12","2","286"
"15","15","0","307"
"16","14","2","298"
"17","13","1","275"
"18","19","0","303"
"19","13","13","309"
"20","12","3","296"
"21","17","0","314"
"22","10","3","298"
"23","7","8","293"
"24","15","22","307"
"25","12","1","290"
"26","17","0","311"
"27","14","5","308"
"28","17","14","298"
"29","13","21","278"
"30","15","3","296"
"31","9","10","285"
"32","13","0","298"
"33","11","8","282"
"34","11","7","279"
"35","16","4","308"
"36","14","4","305"
"37","18","4","317"
"38","14","3","312"
"39","14","15","295"
"40","13","10","283"
"41","12","5","278"
"42","21","6","317"
"43","17","2","304"
