"数字","全期間の出現回数","直近30回の出現回数","直近50回の出現回数","直近100回の出現回数","直近300回の出現回数","最後に出た回号","前回からの間隔","平均出現間隔","最大未出現間隔"
"1","129","5","8","22","55","686","9","5.32","21"
"2","114","3","5","17","50","678","17","5.97","22"
"3","121","5","8","13","50","694","1","5.74","20"
"4","138","3","9","20","56","689","6","4.99","23"
"5","117","5","8","14","54","695","0","5.95","25"
"6","130","8","14","20","50","695","0","5.31","21"
"7","133","6","8","23","58","692","3","5.23","22"
"8","135","6","10","19","61","691","4","5.13","34"
"9","151","8","11","24","62","692","3","4.54","20"
"10","132","6","9","21","52","691","4","5.27","30"
"11","132","5","7","15","53","695","0","5.28","27"
"12","120","4","12","28","63","681","14","5.71","28"
"13","146","5","11","14","62","694","1","4.76","24"
"14","132","4","9","17","57","690","5","5.24","19"
"15","153","6","8","16","61","692","3","4.51","35"
"16","118","9","13","19","56","695","0","5.90","31"
"17","138","7","12","18","62","693","2","5.05","23"
"18","134","9","11","23","64","692","3","5.02","25"
"19","122","4","8","14","58","684","11","5.60","24"
"20","123","7","9","22","56","692","3","5.66","25"
"21","132","4","7","14","52","688","7","5.21","20"
"22","140","14","21","26","69","695","0","4.97","20"
"23","130","6","9","20","46","693","2","5.36","38"
"24","126","9","13","20","47","695","0","5.54","28"
"25","113","6","10","12","52","693","2","6.05","33"
"26","138","4","9","19","59","694","1","4.99","25"
"27","131","3","6","16","49","691","4","5.26","22"
"28","130","7","9","18","52","692","3","5.36","45"
"29","137","4","7","23","66","687","8","5.04","21"
"30","143","3","7","16","61","694","1","4.85","28"
"31","136","5","8","20","58","694","1","5.13","21"
"32","136","4","6","16","61","689","6","5.04","25"
"33","117","7","12","19","53","693","2","5.96","28"
"34","143","3","6","24","63","695","0","4.89","22"
"35","141","6","14","22","58","693","2","4.94","23"
"36","139","7","8","20","58","694","1","4.97","18"
"37","115","3","8","16","56","691","4","5.91","29"
