"回号","抽せん日","本数字1","本数字2","本数字3","本数字4","本数字5","本数字6","本数字7","ボーナス数字1","ボーナス数字2","販売実績額","キャリーオーバー","1等口数","1等当せん金額","2等口数","2等当せん金額","3等口数","3等当せん金額","4等口数","4等当せん金額","5等口数","5等当せん金額","6等口数","6等当せん金額","データソース","取得日時","検証状態"
"118","2015-07-17","5","8","9","24","27","28","30","16","20","","1243142375","0","0","9","11925600","213","705400","11376","7700","140813","1500","198944","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"119","2015-07-24","3","6","8","14","15","25","36","24","35","","784900955","1","800000000","90","1234300","223","697400","11619","7800","137464","1600","229907","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"120","2015-07-31","2","16","18","26","32","35","37","9","36","","1103234440","0","0","5","21086900","125","1180800","5325","16200","90974","2300","163486","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"121","2015-08-07","2","4","13","16","21","30","37","19","29","","628349190","1","800000000","3","35571400","103","1450400","5189","16800","87477","2400","164610","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"122","2015-08-14","2","16","18","26","27","34","35","5","12","","926503785","0","0","9","11120500","130","1077800","6455","12700","91608","2200","171725","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"123","2015-08-21","1","3","5","8","29","34","36","23","28","","472187410","1","800000000","11","10030800","117","1320200","6184","14600","112178","1900","226852","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"124","2015-08-28","1","2","15","17","18","22","36","6","27","","0","1","785704400","6","17461400","94","1560300","5424","15800","91676","2300","178588","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"125","2015-09-04","1","6","11","14","19","28","35","18","21","","248655270","0","0","4","21167200","146","811800","6273","11000","93226","1800","138088","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"126","2015-09-11","4","10","13","16","17","21","27","1","18","","0","2","265266200","3","31531800","119","1112800","5526","14000","89632","2100","149649","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"127","2015-09-18","10","12","15","23","28","30","35","6","25","","0","2","125520200","16","5042700","144","784400","6662","9900","97309","1600","149636","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"128","2015-09-25","2","4","8","23","26","27","32","3","35","","0","1","233557500","7","11052200","104","1041400","5578","11300","84609","1800","148326","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"129","2015-10-02","5","7","11","19","24","27","30","29","35","","0","1","229587800","10","7828100","141","777200","6246","10200","91513","1700","140404","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"130","2015-10-09","1","15","20","23","25","31","32","5","24","","226123355","0","0","4","18949300","68","1560500","3633","17100","62774","2400","119695","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"131","2015-10-16","3","4","12","17","32","34","36","23","31","","497901650","0","0","7","12634400","98","1263400","4936","14700","82400","2100","148373","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"132","2015-10-23","7","10","14","16","20","30","31","35","37","","799493370","0","0","7","14771100","113","1281000","5432","15600","89305","2300","155506","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"133","2015-10-30","3","7","13","15","17","21","30","14","27","","1134284665","0","0","9","12735100","170","943800","7575","12400","119190","1900","207611","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"134","2015-11-06","4","9","20","28","30","34","35","12","29","","1481435860","0","0","12","9879700","126","1317200","6497","14900","114011","2100","209075","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"135","2015-11-13","8","9","13","14","24","32","34","3","4","","1845014875","0","0","7","17695100","169","1026000","7454","13600","121932","2000","223604","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"136","2015-11-20","10","17","24","27","30","33","37","18","31","","2222533760","0","0","12","10716600","138","1304600","7501","14000","120568","2100","211203","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"137","2015-11-27","13","19","21","25","27","32","35","16","20","","1820523185","1","800000000","25","5282900","192","963000","8883","12200","128611","2000","209643","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"138","2015-12-04","2","5","17","20","21","32","33","30","35","","1370182325","1","800000000","9","13318500","154","1089600","6562","15000","105002","2300","177272","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"139","2015-12-11","9","16","18","21","23","34","35","4","36","","1712940710","0","0","10","11434100","143","1119400","7128","13100","111609","2000","201359","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"140","2015-12-18","3","11","12","13","17","26","35","1","33","","2074538935","0","0","5","24262700","141","1204500","8119","12200","130651","1800","217378","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"141","2015-12-25","2","10","18","30","31","32","36","21","29","","1672001745","1","800000000","6","22037800","161","1149700","7645","14200","122514","2100","210961","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"142","2016-01-08","6","12","14","18","21","27","28","1","33","","2060628715","0","0","20","6745000","180","1049200","9004","12300","142612","1900","245135","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"143","2016-01-15","1","3","8","14","28","29","33","4","31","","2444749620","0","0","18","7204200","218","832700","10077","10500","147524","1700","235436","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"144","2016-01-22","2","9","13","18","22","32","36","17","26","","2050454225","1","800000000","21","6503100","249","767800","10143","11000","147247","1800","245690","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"145","2016-01-29","10","12","18","28","29","30","35","4","19","","2433616350","0","0","18","6993600","194","908400","9476","10900","139105","1800","234198","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"146","2016-02-05","4","10","25","27","28","33","34","15","35","","2034765345","1","800000000","11","12190200","160","1173200","8350","13100","136343","1900","239815","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"147","2016-02-12","1","5","7","12","15","24","25","8","14","","826803760","2","800000000","18","6995700","198","890300","10536","9800","150535","1600","235286","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"148","2016-02-19","1","9","11","16","20","30","34","12","33","","1173362780","0","0","15","7948400","117","1426600","6038","16200","103270","2300","179666","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"149","2016-02-26","1","4","15","19","22","23","31","12","32","","730966110","1","800000000","8","14895800","160","1042600","7774","12500","121130","1900","192840","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"150","2016-03-04","6","7","14","20","27","31","34","11","24","","256955600","1","800000000","12","9273400","171","911000","6898","13200","105383","2100","181216","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"151","2016-03-11","9","10","13","15","21","22","24","4","8","","553668980","0","0","9","11155700","97","1449000","5598","14700","95911","2100","194859","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"152","2016-03-18","8","12","17","21","23","24","31","6","7","","69792960","1","800000000","17","6175600","130","1130500","7742","11100","116837","1800","197700","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"153","2016-03-25","7","9","10","16","20","28","37","2","33","","0","1","362456100","12","7885800","115","1152000","5753","13500","91889","2000","158231","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"154","2016-04-01","2","4","19","21","24","28","35","3","13","","0","1","257297800","15","5671400","127","937700","5988","11600","92287","1800","163911","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"155","2016-04-08","2","9","13","18","22","24","26","10","37","","0","1","251995000","11","7583900","161","725400","6403","10700","88855","1900","138643","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"156","2016-04-15","4","9","16","19","22","33","34","17","36","","0","1","259663500","5","16995300","138","862000","5663","12300","82668","2000","131839","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"157","2016-04-22","5","9","16","26","28","29","32","1","37","","252322715","0","0","6","13780700","112","1033500","4754","14200","80218","2000","129228","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"158","2016-04-29","3","6","7","30","32","36","37","5","20","","0","1","535280700","7","13303800","109","1196100","4614","16500","84564","2200","141718","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"159","2016-05-06","10","14","17","21","23","27","31","16","24","","234794530","0","0","5","15896900","127","876100","5520","11800","83349","1900","127314","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"160","2016-05-13","1","2","8","24","32","36","37","23","33","","0","2","255795700","5","18657900","94","1389400","6795","11200","87158","2100","151192","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"161","2016-05-20","8","14","17","18","20","22","34","4","30","","233401615","0","0","6","13320500","69","1621600","4314","15200","70156","2300","128448","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"162","2016-05-27","2","7","8","12","14","23","27","6","10","","0","1","500555900","15","6029500","156","811600","8086","9100","112419","1600","178019","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"163","2016-06-03","1","2","6","16","28","30","31","3","7","","0","1","237793900","7","11300600","118","938500","5118","12600","79064","2000","150062","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"164","2016-06-10","3","13","20","23","31","35","36","2","11","","229558135","0","0","4","19067900","92","1160600","4328","14400","67249","2300","127590","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"165","2016-06-17","9","11","14","15","16","18","27","6","20","","529403390","0","0","3","32554300","96","1424200","5542","14400","100873","1900","163858","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"166","2016-06-24","14","20","27","29","30","31","37","23","34","","838919740","0","0","9","11749100","103","1437200","5210","16600","90495","2300","159868","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"167","2016-07-01","1","3","5","7","10","26","36","19","37","","0","2","596966700","16","7293200","175","933500","8295","11500","126796","1800","199765","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"168","2016-07-08","3","9","12","14","19","20","36","2","5","","249683290","0","0","8","10278400","96","1199100","4707","14300","79672","2000","142639","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"169","2016-07-15","1","5","10","20","21","28","30","25","26","","541842255","0","0","9","10458600","145","908800","7713","10000","101092","1800","143001","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"170","2016-07-22","3","5","6","9","27","32","36","12","24","","45774325","1","800000000","9","11318500","126","1131800","7099","11700","111780","1800","198470","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"171","2016-07-29","1","2","6","21","23","27","28","11","16","","0","1","308533500","6","14778000","112","1108300","5675","12800","94440","1900","169580","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"172","2016-08-05","5","20","21","27","30","31","36","9","26","","0","1","229139600","10","7737500","143","757500","5836","10800","82221","1900","134057","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"173","2016-08-12","7","9","19","22","24","27","30","4","28","","228099815","0","0","9","8179800","96","1073500","4599","13100","76223","1900","151261","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"174","2016-08-19","10","13","14","15","23","31","32","4","29","","0","3","170269900","7","13318400","109","1197400","5268","14500","86852","2100","160305","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"175","2016-08-26","6","17","21","31","33","35","37","14","18","","239677540","0","0","3","26441700","93","1194100","4005","16200","70659","2200","124654","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"176","2016-09-02","1","11","12","17","22","30","35","15","16","","528455810","0","0","5","18978800","89","1492600","5367","14500","87754","2100","148588","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"177","2016-09-09","9","15","19","23","25","34","36","2","35","","35718160","1","800000000","9","11551700","142","1025000","6691","12700","108184","1900","184822","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"178","2016-09-16","6","9","11","15","26","34","36","13","37","","298979855","0","0","8","11013900","93","1326300","5206","13900","84160","2100","137192","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"179","2016-09-23","4","9","12","13","22","26","36","5","33","","0","1","581403600","8","11980000","150","894400","6573","11900","100985","1900","168946","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"180","2016-09-30","1","8","11","21","23","25","28","5","37","","237187815","0","0","14","5721300","109","1028700","5735","11400","89930","1800","153913","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"181","2016-10-07","7","8","10","13","19","23","24","15","27","","521445450","0","0","7","13205000","130","995400","6491","11600","102655","1800","189360","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"182","2016-10-14","1","7","10","11","20","23","30","3","37","","842496950","0","0","28","3682100","203","711000","9719","8700","117841","1700","189068","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"183","2016-10-21","6","15","20","26","33","34","37","19","29","","1181212000","0","0","5","23089700","113","1430300","5827","16200","98227","2300","175010","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"184","2016-10-28","7","14","18","22","23","26","34","2","32","","751867760","1","800000000","28","4463800","256","683500","9419","10800","127958","1900","204874","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"185","2016-11-04","1","2","4","16","26","29","34","11","12","","1077699135","0","0","6","18419400","100","1547200","5587","16200","96090","2300","194575","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"186","2016-11-11","5","14","16","19","31","33","37","21","28","","1411599250","0","0","9","12858400","109","1486300","6212","15300","101630","2300","189498","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"187","2016-11-18","4","6","10","23","24","32","36","15","31","","198771140","2","800000000","13","9624600","206","850300","8657","11800","135560","1800","231695","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"188","2016-11-25","6","15","19","25","26","30","31","14","18","","0","1","478206800","4","24214600","112","1210700","5621","14100","93300","2100","158624","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"189","2016-12-02","3","7","8","10","18","23","35","1","19","","0","2","123108600","8","10370900","126","921800","6418","10600","98944","1700","157885","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"190","2016-12-09","2","11","12","18","21","33","36","8","34","","0","1","240259100","12","6759300","105","1081400","5065","13100","83879","1900","144610","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"191","2016-12-16","8","15","21","24","26","27","29","7","30","","243867070","0","0","4","20202500","94","1203500","4653","14200","76562","2100","137587","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"192","2016-12-23","12","13","14","19","25","33","34","3","22","","522955095","0","0","12","7783800","118","1108100","5960","12800","92178","2000","163402","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"193","2016-12-30","4","6","20","21","22","24","31","9","10","","844728055","0","0","9","12021800","113","1340400","6037","14700","100444","2100","193019","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"194","2017-01-06","3","6","27","30","31","32","36","14","23","","1131549130","0","0","6","16169400","130","1044700","6171","12900","96460","2000","189955","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"195","2017-01-13","4","7","12","20","23","24","31","26","35","","0","4","371873100","11","10556800","229","709900","8965","10600","131305","1700","199956","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"196","2017-01-20","7","13","15","25","30","32","37","8","14","","234599870","0","0","11","7321700","113","997800","4792","13800","76951","2100","143940","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"197","2017-01-27","6","8","10","12","16","21","28","14","23","","522001970","0","0","10","9519200","163","817500","7271","10700","109584","1700","183425","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"198","2017-02-03","18","21","31","32","33","36","37","5","25","","879541410","0","0","5","23983300","92","1824700","7830","12500","97289","2500","185503","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"199","2017-02-10","1","9","17","20","22","28","29","13","16","","0","2","636223100","22","6022200","259","716100","11394","9500","147540","1800","230618","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"200","2017-02-17","13","14","17","21","27","28","34","1","11","","0","4","67987600","12","7805300","134","978500","6075","12600","94341","2000","152630","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"201","2017-02-24","8","11","17","24","28","31","32","12","34","","0","1","263734200","10","8851000","134","924700","6540","11100","96493","1800","156259","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"202","2017-03-03","3","7","11","16","22","34","37","29","32","","0","1","254364500","18","4726500","145","821400","6040","11500","89056","1900","133997","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"203","2017-03-10","6","13","17","22","32","33","36","12","28","","0","1","236902300","9","9011200","106","1071100","5225","12700","80052","2000","147130","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"204","2017-03-17","5","19","20","21","30","34","36","7","12","","237457480","0","0","4","19529000","100","1093600","4310","14800","68340","2300","129597","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"205","2017-03-24","4","5","19","31","35","36","37","27","32","","502863990","0","0","5","17824400","102","1223200","4969","14700","84038","2100","141768","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"206","2017-03-31","1","6","7","11","27","35","36","22","26","","0","2","405262500","10","10099400","127","1113300","6385","12900","103019","1900","174481","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"207","2017-04-07","4","5","10","13","28","32","33","19","26","","237151340","0","0","6","13070000","96","1143600","4637","13800","77499","2000","134173","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"208","2017-04-14","4","13","16","18","22","26","33","27","29","","0","2","265859700","11","8775000","148","913000","6161","12800","94473","2000","164238","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"209","2017-04-21","3","4","6","13","22","31","36","28","34","","0","2","126470700","6","13920600","148","790000","6497","10500","95571","1700","161235","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"210","2017-04-28","2","4","6","11","15","19","36","23","34","","0","3","81938200","13","6308500","94","1221400","5601","12000","90046","1800","158042","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"211","2017-05-05","7","15","22","25","31","32","35","29","36","","213835550","0","0","1","73468200","87","1182200","4147","14500","66654","2200","120393","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"212","2017-05-12","4","6","10","19","20","24","29","1","27","","0","1","485279600","4","22301000","111","1125000","5279","13800","85435","2100","147792","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"213","2017-05-19","5","13","15","18","19","24","35","20","23","","0","1","221975000","5","15193000","101","1052900","4498","13800","75550","2000","124267","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"214","2017-05-26","2","6","9","12","31","36","37","3","22","","222151090","0","0","6","12438700","89","1173900","4596","13300","77756","1900","145323","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"215","2017-06-02","11","12","13","21","29","36","37","7","9","","472406545","0","0","8","10580500","113","1048600","4689","14800","77519","2200","163313","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"216","2017-06-09","9","14","22","24","25","36","37","8","28","","752459005","0","0","5","18713100","91","1439400","5417","14100","88057","2100","162975","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"217","2017-06-16","4","6","26","27","28","35","36","24","34","","0","3","366089300","20","5592700","276","567300","9882","9200","135795","1600","208907","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"218","2017-06-23","15","16","17","21","26","29","30","10","34","","234051170","0","0","7","11201900","82","1338700","4421","14500","69813","2200","125932","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"219","2017-06-30","6","9","13","14","21","25","31","2","4","","0","1","499890800","14","6420600","137","918500","6501","11300","101087","1800","172660","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"220","2017-07-07","7","9","11","18","25","28","35","20","27","","0","1","226348000","9","8553300","114","945300","5346","11800","84172","1800","138540","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"221","2017-07-14","1","2","9","11","17","30","35","13","36","","228713890","0","0","8","9252000","72","1439100","4630","13100","72256","2000","123286","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"222","2017-07-21","3","9","18","21","23","27","29","35","37","","0","2","237488900","6","13828300","127","914600","6133","11100","91984","1800","144651","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"223","2017-07-28","10","13","19","21","26","33","34","24","25","","216537490","0","0","8","8981800","99","1016100","4669","12600","70043","2000","114037","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"224","2017-08-04","2","4","7","10","12","29","34","1","21","","455617240","0","0","12","6787900","115","991600","5595","11900","86363","1900","143418","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"225","2017-08-11","13","15","17","18","20","21","26","25","29","","704586110","0","0","9","9488100","72","1660300","4625","15100","70339","2400","129322","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"226","2017-08-18","12","17","21","24","26","30","32","10","22","","0","2","498775500","8","12725800","160","890700","5907","14100","93387","2200","153889","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"227","2017-08-25","2","3","7","9","22","23","26","29","30","","0","1","211728100","6","12142600","110","927200","5230","11400","81676","1800","130062","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"228","2017-09-01","6","11","14","21","24","28","31","22","36","","0","1","220207500","14","5378700","135","780800","5511","11200","84921","1800","146739","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"229","2017-09-08","2","3","9","30","33","36","37","1","32","","219972905","0","0","4","18376700","70","1470100","3954","15200","67218","2200","113978","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"230","2017-09-15","3","5","8","15","22","25","27","18","31","","488540220","0","0","8","10739600","132","911200","7069","9900","103336","1600","158735","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"231","2017-09-22","4","15","18","24","25","34","36","10","26","","759728850","0","0","5","18672100","128","1021100","5906","12900","93003","2000","153999","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"232","2017-09-29","2","4","7","9","15","35","37","10","23","","92542530","1","1000000000","12","9296200","153","1020700","7395","12300","117395","1900","214357","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"233","2017-10-06","3","13","17","25","26","27","29","8","37","","352144450","0","0","8","10725400","103","1166200","5288","13300","90228","1900","160585","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"234","2017-10-13","7","14","15","16","23","25","30","5","34","","627381835","0","0","7","13471100","119","1109300","6310","12200","98933","1900","169649","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"235","2017-10-20","2","9","13","18","21","33","34","3","11","","0","2","465949400","7","14675800","203","708400","7726","10900","107778","1900","179818","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"236","2017-10-27","19","22","23","34","35","36","37","10","30","","219639955","0","0","6","12589100","111","952600","4721","13100","75308","2000","113751","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"237","2017-11-03","3","4","7","19","20","21","29","8","33","","0","1","495540900","11","8194800","127","993600","6148","12000","94907","1900","165076","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"238","2017-11-10","3","21","26","33","34","35","37","23","31","","0","1","221756400","5","15076200","58","1819500","3900","15800","69076","2200","110077","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"239","2017-11-17","8","13","17","21","23","28","37","1","14","","0","2","108367000","10","7272000","83","122500","4447","13400","76039","1900","126613","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
