"数字","全期間の出現回数","直近30回の出現回数","直近50回の出現回数","直近100回の出現回数","直近300回の出現回数","最後に出た回号","前回からの間隔","平均出現間隔","最大未出現間隔"
"1","129","5","8","21","55","686","10","5.32","21"
"2","114","2","5","17","49","678","18","5.97","22"
"3","121","5","8","13","49","694","2","5.74","20"
"4","138","3","9","20","56","689","7","4.99","23"
"5","117","5","7","14","53","695","1","5.95","25"
"6","130","8","14","20","50","695","1","5.31","21"
"7","133","6","8","23","58","692","4","5.23","22"
"8","135","6","10","19","60","691","5","5.13","34"
"9","151","8","11","23","62","692","4","4.54","20"
"10","133","7","10","22","53","696","0","5.27","30"
"11","133","6","8","16","54","696","0","5.25","27"
"12","120","4","11","28","63","681","15","5.71","28"
"13","146","5","10","14","62","694","2","4.76","24"
"14","132","4","9","17","57","690","6","5.24","19"
"15","154","7","8","17","62","696","0","4.51","35"
"16","119","10","14","19","56","696","0","5.86","31"
"17","138","6","12","18","62","693","3","5.05","23"
"18","134","8","10","23","64","692","4","5.02","25"
"19","122","4","8","13","58","684","12","5.60","24"
"20","123","7","9","22","55","692","4","5.66","25"
"21","132","4","7","14","52","688","8","5.21","20"
"22","140","13","21","26","69","695","1","4.97","20"
"23","131","6","10","20","47","696","0","5.35","38"
"24","127","10","14","21","48","696","0","5.51","28"
"25","113","5","10","12","52","693","3","6.05","33"
"26","138","4","9","19","59","694","2","4.99","25"
"27","131","3","6","16","49","691","5","5.26","22"
"28","130","7","9","18","52","692","4","5.36","45"
"29","137","4","7","22","66","687","9","5.04","21"
"30","143","3","7","16","61","694","2","4.85","28"
"31","136","5","8","20","58","694","2","5.13","21"
"32","136","4","6","15","61","689","7","5.04","25"
"33","117","6","12","19","53","693","3","5.96","28"
"34","144","4","7","25","63","696","0","4.86","22"
"35","141","6","13","22","58","693","3","4.94","23"
"36","139","7","8","20","58","694","2","4.97","18"
"37","115","3","7","16","56","691","5","5.91","29"
