"数字","直近100回の出現回数","前回からの間隔","過去出現回数"
"1","22","9","129"
"2","17","17","114"
"3","13","1","121"
"4","20","6","138"
"5","14","0","117"
"6","20","0","130"
"7","23","3","133"
"8","19","4","135"
"9","24","3","151"
"10","21","4","132"
"11","15","0","132"
"12","28","14","120"
"13","14","1","146"
"14","17","5","132"
"15","16","3","153"
"16","19","0","118"
"17","18","2","138"
"18","23","3","134"
"19","14","11","122"
"20","22","3","123"
"21","14","7","132"
"22","26","0","140"
"23","20","2","130"
"24","20","0","126"
"25","12","2","113"
"26","19","1","138"
"27","16","4","131"
"28","18","3","130"
"29","23","8","137"
"30","16","1","143"
"31","20","1","136"
"32","16","6","136"
"33","19","2","117"
"34","24","0","143"
"35","22","2","141"
"36","20","1","139"
"37","16","4","115"
