game,drawNumber,drawDate,mainNumbers,bonusNumbers,salesAmount,carryoverAmount,prizeTiers
"loto7","1","2013-04-05","7 10 12 17 23 28 34","3 15","","0","[{""tier"":1,""winners"":1,""prizeYen"":301716500},{""tier"":2,""winners"":24,""prizeYen"":4144600},{""tier"":3,""winners"":168,""prizeYen"":828900},{""tier"":4,""winners"":8254,""prizeYen"":9800},{""tier"":5,""winners"":115022,""prizeYen"":1700},{""tier"":6,""winners"":189593,""prizeYen"":900}]"
"loto7","2","2013-04-12","20 24 29 31 33 34 35","12 32","","247506600","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":3,""prizeYen"":27968500},{""tier"":3,""winners"":63,""prizeYen"":1864500},{""tier"":4,""winners"":3631,""prizeYen"":18900},{""tier"":5,""winners"":67155,""prizeYen"":2500},{""tier"":6,""winners"":122990,""prizeYen"":1200}]"
"loto7","3","2013-04-19","2 7 8 11 14 23 31","5 15","","646583065","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":15,""prizeYen"":8717200},{""tier"":3,""winners"":218,""prizeYen"":839700},{""tier"":4,""winners"":9957,""prizeYen"":10700},{""tier"":5,""winners"":147796,""prizeYen"":1700},{""tier"":6,""winners"":252702,""prizeYen"":900}]"
"loto7","4","2013-04-26","12 13 22 23 24 28 29","2 14","","1055636845","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":6,""prizeYen"":22730100},{""tier"":3,""winners"":132,""prizeYen"":1446400},{""tier"":4,""winners"":7217,""prizeYen"":15500},{""tier"":5,""winners"":127060,""prizeYen"":2100},{""tier"":6,""winners"":217162,""prizeYen"":1100}]"
"loto7","5","2013-05-03","1 3 4 5 16 21 28","22 31","","1502479900","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":13,""prizeYen"":11525600},{""tier"":3,""winners"":217,""prizeYen"":966600},{""tier"":4,""winners"":10451,""prizeYen"":11700},{""tier"":5,""winners"":163965,""prizeYen"":1800},{""tier"":6,""winners"":239669,""prizeYen"":1100}]"
"loto7","6","2013-05-10","5 15 19 23 30 34 35","6 25","","1975256125","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":13,""prizeYen"":12174300},{""tier"":3,""winners"":166,""prizeYen"":1334700},{""tier"":4,""winners"":9111,""prizeYen"":14200},{""tier"":5,""winners"":158890,""prizeYen"":2000},{""tier"":6,""winners"":271441,""prizeYen"":1000}]"
"loto7","7","2013-05-17","1 3 5 7 27 29 33","6 15","","41801960","[{""tier"":1,""winners"":3,""prizeYen"":800000000},{""tier"":2,""winners"":18,""prizeYen"":8835900},{""tier"":3,""winners"":209,""prizeYen"":1065300},{""tier"":4,""winners"":10300,""prizeYen"":12600},{""tier"":5,""winners"":164712,""prizeYen"":1900},{""tier"":6,""winners"":287966,""prizeYen"":1000}]"
"loto7","8","2013-05-24","2 21 28 29 30 32 36","6 8","","390672500","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":4,""prizeYen"":28966000},{""tier"":3,""winners"":98,""prizeYen"":1655100},{""tier"":4,""winners"":5628,""prizeYen"":16900},{""tier"":5,""winners"":98454,""prizeYen"":2300},{""tier"":6,""winners"":201752,""prizeYen"":1000}]"
"loto7","9","2013-05-31","3 4 15 23 27 30 36","13 35","","0","[{""tier"":1,""winners"":2,""prizeYen"":380111200},{""tier"":2,""winners"":4,""prizeYen"":30883600},{""tier"":3,""winners"":201,""prizeYen"":860400},{""tier"":4,""winners"":8281,""prizeYen"":12200},{""tier"":5,""winners"":129548,""prizeYen"":1900},{""tier"":6,""winners"":213199,""prizeYen"":1000}]"
"loto7","10","2013-06-07","1 2 3 6 24 28 30","16 20","","321524240","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":4,""prizeYen"":26389000},{""tier"":3,""winners"":147,""prizeYen"":1005200},{""tier"":4,""winners"":6861,""prizeYen"":12600},{""tier"":5,""winners"":113261,""prizeYen"":1800},{""tier"":6,""winners"":166137,""prizeYen"":1100}]"
"loto7","11","2013-06-14","9 15 26 29 32 34 36","14 35","","0","[{""tier"":1,""winners"":1,""prizeYen"":707670400},{""tier"":2,""winners"":6,""prizeYen"":20977400},{""tier"":3,""winners"":138,""prizeYen"":1276800},{""tier"":4,""winners"":6700,""prizeYen"":15400},{""tier"":5,""winners"":112138,""prizeYen"":2200},{""tier"":6,""winners"":211430,""prizeYen"":1000}]"
