game,drawNumber,drawDate,mainNumbers,bonusNumbers,salesAmount,carryoverAmount,prizeTiers
"loto6","19","2001-02-08","4 8 12 30 33 43","14","","0","[{""tier"":1,""winners"":2,""prizeYen"":125271100},{""tier"":2,""winners"":10,""prizeYen"":22548600},{""tier"":3,""winners"":456,""prizeYen"":593300},{""tier"":4,""winners"":20349,""prizeYen"":11700},{""tier"":5,""winners"":335124,""prizeYen"":1000}]"
"loto6","20","2001-02-15","7 29 33 35 37 39","19","","0","[{""tier"":1,""winners"":2,""prizeYen"":123069600},{""tier"":2,""winners"":7,""prizeYen"":31646200},{""tier"":3,""winners"":257,""prizeYen"":1034300},{""tier"":4,""winners"":17282,""prizeYen"":13500},{""tier"":5,""winners"":320362,""prizeYen"":1000}]"
"loto6","21","2001-02-22","5 7 13 19 38 41","42","","224948364","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":8,""prizeYen"":25306400},{""tier"":3,""winners"":665,""prizeYen"":365300},{""tier"":4,""winners"":27090,""prizeYen"":7900},{""tier"":5,""winners"":387888,""prizeYen"":1000}]"
"loto6","22","2001-03-01","8 12 16 19 20 35","41","","0","[{""tier"":1,""winners"":2,""prizeYen"":246918300},{""tier"":2,""winners"":21,""prizeYen"":11523600},{""tier"":3,""winners"":733,""prizeYen"":396100},{""tier"":4,""winners"":36405,""prizeYen"":7000},{""tier"":5,""winners"":491095,""prizeYen"":1000}]"
"loto6","23","2001-03-08","7 10 28 32 33 40","13","","0","[{""tier"":1,""winners"":2,""prizeYen"":123831800},{""tier"":2,""winners"":15,""prizeYen"":14859600},{""tier"":3,""winners"":297,""prizeYen"":900500},{""tier"":4,""winners"":17351,""prizeYen"":13500},{""tier"":5,""winners"":303659,""prizeYen"":1000}]"
"loto6","24","2001-03-15","15 18 19 30 36 38","13","","35077560","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":7,""prizeYen"":30223900},{""tier"":3,""winners"":244,""prizeYen"":1040400},{""tier"":4,""winners"":15939,""prizeYen"":14000},{""tier"":5,""winners"":310560,""prizeYen"":1000}]"
"loto6","25","2001-03-22","11 32 34 37 40 43","8","","0","[{""tier"":1,""winners"":2,""prizeYen"":147444200},{""tier"":2,""winners"":3,""prizeYen"":77942500},{""tier"":3,""winners"":256,""prizeYen"":1096000},{""tier"":4,""winners"":14805,""prizeYen"":16700},{""tier"":5,""winners"":280461,""prizeYen"":1000}]"
"loto6","26","2001-03-29","3 4 11 12 13 43","22","","31090737","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":4,""prizeYen"":51994900},{""tier"":3,""winners"":360,""prizeYen"":693200},{""tier"":4,""winners"":17821,""prizeYen"":12300},{""tier"":5,""winners"":331077,""prizeYen"":1000}]"
"loto6","27","2001-04-05","4 8 20 30 33 38","10","","0","[{""tier"":1,""winners"":1,""prizeYen"":282187900},{""tier"":2,""winners"":9,""prizeYen"":25109400},{""tier"":3,""winners"":446,""prizeYen"":608000},{""tier"":4,""winners"":24088,""prizeYen"":9900},{""tier"":5,""winners"":353601,""prizeYen"":1000}]"
"loto6","28","2001-04-12","6 11 15 20 31 41","7","","238045160","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":3,""prizeYen"":71412900},{""tier"":3,""winners"":350,""prizeYen"":734500},{""tier"":4,""winners"":19547,""prizeYen"":11600},{""tier"":5,""winners"":350598,""prizeYen"":1000}]"
